matchup_id,game_id,home_team_id,away_team_id,home_team,away_team
9,50,2,11,Framber Valdez Oil Spill,The West Bank Occupiers 
9,51,9,6,Of Bryce and Men,The Novaks
9,52,14,7,Freedom of the Pressly,All Walshed Up
9,53,1,5,Yosemite Yeshivas,The Traveling Secretaries
9,54,8,12,Mt. Everest Taquito Farmers,Blasphemous Hot Takes
10,55,11,13,The West Bank Occupiers ,Springer Bell
10,56,6,2,The Novaks,Framber Valdez Oil Spill
10,57,7,9,All Walshed Up,Of Bryce and Men
10,58,5,14,The Traveling Secretaries,Freedom of the Pressly
10,59,12,1,Blasphemous Hot Takes,Yosemite Yeshivas
10,60,4,8,All That is Wright,Mt. Everest Taquito Farmers
11,61,13,6,Springer Bell,The Novaks
11,62,2,7,Framber Valdez Oil Spill,All Walshed Up
11,63,9,5,Of Bryce and Men,The Traveling Secretaries
11,64,14,12,Freedom of the Pressly,Blasphemous Hot Takes
11,65,1,4,Yosemite Yeshivas,All That is Wright
11,66,8,11,Mt. Everest Taquito Farmers,The West Bank Occupiers 
12,67,7,5,All Walshed Up,The Traveling Secretaries
12,68,12,6,Blasphemous Hot Takes,The Novaks
12,69,4,11,All That is Wright,The West Bank Occupiers 
12,70,13,2,Springer Bell,Framber Valdez Oil Spill
12,71,9,8,Of Bryce and Men,Mt. Everest Taquito Farmers
12,72,14,1,Freedom of the Pressly,Yosemite Yeshivas
13,73,12,7,Blasphemous Hot Takes,All Walshed Up
13,74,5,4,The Traveling Secretaries,All That is Wright
13,75,6,11,The Novaks,The West Bank Occupiers 
13,76,9,13,Of Bryce and Men,Springer Bell
13,77,2,14,Framber Valdez Oil Spill,Freedom of the Pressly
13,78,8,1,Mt. Everest Taquito Farmers,Yosemite Yeshivas
14,79,7,4,All Walshed Up,All That is Wright
14,80,11,12,The West Bank Occupiers ,Blasphemous Hot Takes
14,81,6,5,The Novaks,The Traveling Secretaries
14,82,13,14,Springer Bell,Freedom of the Pressly
14,83,1,9,Yosemite Yeshivas,Of Bryce and Men
14,84,8,2,Mt. Everest Taquito Farmers,Framber Valdez Oil Spill
15,85,11,7,The West Bank Occupiers ,All Walshed Up
15,86,4,6,All That is Wright,The Novaks
15,87,12,5,Blasphemous Hot Takes,The Traveling Secretaries
15,88,1,13,Yosemite Yeshivas,Springer Bell
15,89,14,8,Freedom of the Pressly,Mt. Everest Taquito Farmers
15,90,9,2,Of Bryce and Men,Framber Valdez Oil Spill
16,91,7,6,All Walshed Up,The Novaks
16,92,5,11,The Traveling Secretaries,The West Bank Occupiers 
16,93,12,4,Blasphemous Hot Takes,All That is Wright
16,94,13,8,Springer Bell,Mt. Everest Taquito Farmers
16,95,2,1,Framber Valdez Oil Spill,Yosemite Yeshivas
16,96,9,14,Of Bryce and Men,Freedom of the Pressly
17,97,7,13,All Walshed Up,Springer Bell
17,98,5,2,The Traveling Secretaries,Framber Valdez Oil Spill
17,99,12,9,Blasphemous Hot Takes,Of Bryce and Men
17,100,4,14,All That is Wright,Freedom of the Pressly
17,101,11,1,The West Bank Occupiers ,Yosemite Yeshivas
17,102,6,8,The Novaks,Mt. Everest Taquito Farmers
18,103,13,5,Springer Bell,The Traveling Secretaries
18,104,2,12,Framber Valdez Oil Spill,Blasphemous Hot Takes
18,105,9,4,Of Bryce and Men,All That is Wright
18,106,14,11,Freedom of the Pressly,The West Bank Occupiers 
18,107,1,6,Yosemite Yeshivas,The Novaks
18,108,8,7,Mt. Everest Taquito Farmers,All Walshed Up
19,109,12,13,Blasphemous Hot Takes,Springer Bell
19,110,4,2,All That is Wright,Framber Valdez Oil Spill
19,111,11,9,The West Bank Occupiers ,Of Bryce and Men
19,112,6,14,The Novaks,Freedom of the Pressly
19,113,7,1,All Walshed Up,Yosemite Yeshivas
19,114,5,8,The Traveling Secretaries,Mt. Everest Taquito Farmers
20,115,13,4,Springer Bell,All That is Wright
20,116,2,11,Framber Valdez Oil Spill,The West Bank Occupiers 
20,117,9,6,Of Bryce and Men,The Novaks
20,118,14,7,Freedom of the Pressly,All Walshed Up
20,119,1,5,Yosemite Yeshivas,The Traveling Secretaries
20,120,8,12,Mt. Everest Taquito Farmers,Blasphemous Hot Takes
