player,player_id,team_id,stint,start,end,team_from,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Anthony Rendon,32098,8,0,1,74,NA,NA,Draft,98.5,45,1,0,0,2.188888888888889
Anthony Rizzo,30782,4,0,1,153,NA,NA,Draft,360.5,116,1,0,0,3.1077586206896552
Anthony Santander,36084,8,0,1,153,NA,NA,Draft,362.5,127,1,0,0,2.854330708661417
Aroldis Chapman,30442,9,0,1,110,NA,NA,Draft,59,25,0,0,1,2.36
Austin Hays,36928,4,0,1,153,NA,NA,Draft,253,112,1,0,0,2.2589285714285716
Austin Meadows,33197,14,0,1,98,NA,NA,Draft,64.5,29,1,0,0,2.2241379310344827
Austin Riley,34982,9,0,1,112,NA,NA,Draft,320.5,98,1,0,0,3.270408163265306
Avisail Garcia,30729,14,0,1,7,NA,NA,Draft,1.5,3,1,0,0,0.5
Bailey Ober,3107919,8,0,1,134,NA,NA,Draft,64.5,7,0,1,0,9.214285714285714
Blake Snell,33748,14,0,1,153,NA,NA,Draft,164.5,15,0,0.9473684210526315,0.052631578947368474,10.966666666666667
Blake Treinen,32185,2,0,1,15,NA,NA,Draft,13,3,0,0,1,4.333333333333333
Bo Bichette,38904,1,0,1,153,NA,NA,Draft,338.5,132,1,0,0,2.5643939393939394
Bobby Dalbec,39382,12,0,1,14,NA,NA,Draft,12.5,10,1,0,0,1.25
Bobby Witt Jr.,42403,12,0,1,153,NA,NA,Draft,325,125,1,0,0,2.6
Brandon Belt,30901,8,0,1,144,NA,NA,Draft,124.5,78,1,0,0,1.5961538461538463
Brandon Crawford,30469,7,0,1,23,NA,NA,Draft,2,1,1,0,0,2
Brandon Lowe,39961,6,0,1,149,NA,NA,Draft,138,60,1,0,0,2.3
Brandon Nimmo,32159,2,0,1,40,NA,NA,Draft,91,27,1,0,0,3.3703703703703702
Brandon Woodruff,37515,11,0,1,40,NA,NA,Draft,68,7,0,1,0,9.714285714285714
Brendan Rodgers,35073,11,0,1,11,NA,NA,Draft,-1,3,1,0,0,-0.3333333333333333
Bryan Reynolds,38980,14,0,1,149,NA,NA,Draft,287,113,1,0,0,2.5398230088495577
Bryce Harper,30951,9,0,1,153,NA,NA,Draft,269,72,1,0,0,3.736111111111111
Byron Buxton,32655,9,0,1,153,NA,NA,Draft,277,89,1,0,0,3.1123595505617976
C.J. Abrams,42402,14,0,1,5,NA,NA,Draft,0,1,1,0,0,0
C.J. Cron,32155,14,0,1,153,NA,NA,Draft,351.5,128,1,0,0,2.74609375
Cal Quantrill,39875,4,0,1,5,NA,NA,Draft,8,1,0,1,0,8
Camilo Doval,41337,6,0,1,153,NA,NA,Draft,198,56,0,0,1,3.5357142857142856
Carlos Carrasco,28968,14,0,1,143,NA,NA,Draft,236.5,20,0,1,0,11.825
Carlos Correa,32653,12,0,1,153,NA,NA,Draft,268,109,1,0,0,2.458715596330275
Carlos Hernandez,41233,11,0,1,17,NA,NA,Draft,-2.5,2,0,1,0,-1.25
Carlos Rodon,33696,11,0,1,153,NA,NA,Draft,502,27,0,1,0,18.59259259259259
Carlos Santana,30280,6,0,1,14,NA,NA,Draft,5.5,6,1,0,0,0.9166666666666666
Casey Mize,41167,12,0,1,9,NA,NA,Draft,8,2,0,1,0,4
Cedric Mullins,35578,7,0,1,144,NA,NA,Draft,341,120,1,0,0,2.841666666666667
Cesar Hernandez,31130,7,0,1,11,NA,NA,Draft,0,2,1,0,0,0
Chad Green,33325,9,0,1,10,NA,NA,Draft,13.5,4,0,0,1,3.375
Charlie Blackmon,31084,9,0,1,33,NA,NA,Draft,61.5,24,1,0,0,2.5625
Charlie Morton,29155,14,0,1,153,NA,NA,Draft,343.5,24,0,1,0,14.3125
Chris Bassitt,33148,5,0,1,153,NA,NA,Draft,374,23,0,1,0,16.26086956521739
Chris Flexen,36067,2,0,1,13,NA,NA,Draft,18,2,0,1,0,9
Chris Sale,30948,8,0,1,134,NA,NA,Draft,-4.5,1,0,1,0,-4.5
Chris Taylor,32900,11,0,1,145,NA,NA,Draft,158.5,88,1,0,0,1.8011363636363635
Christian Vazquez,31389,8,0,1,144,NA,NA,Draft,204,97,1,0,0,2.1030927835051547
Christian Yelich,31283,11,0,1,153,NA,NA,Draft,332,125,1,0,0,2.656
Clayton Kershaw,28963,9,0,1,153,NA,NA,Draft,256.5,13,0,1,0,19.73076923076923
Cody Bellinger,33912,5,0,1,153,NA,NA,Draft,255.5,120,1,0,0,2.129166666666667
Cole Irvin,39869,2,0,1,2,NA,NA,Draft,0,0,NA,NA,NA,0
Corbin Burnes,39878,6,0,1,153,NA,NA,Draft,508.5,27,0,1,0,18.833333333333332
Corey Knebel,33206,12,0,1,69,NA,NA,Draft,79,25,0,0,1,3.16
Corey Seager,32691,6,0,1,153,NA,NA,Draft,379,128,1,0,0,2.9609375
Craig Kimbrel,30653,4,0,1,93,NA,NA,Draft,94.5,30,0,0,1,3.15
Cristian Javier,41261,11,0,1,153,NA,NA,Draft,263,21,0,0.8,0.19999999999999996,12.523809523809524
Dansby Swanson,34895,7,0,1,153,NA,NA,Draft,365,135,1,0,0,2.7037037037037037
Daulton Varsho,40963,5,0,1,153,NA,NA,Draft,304.5,122,1,0,0,2.4959016393442623
David Bednar,38303,13,0,1,18,NA,NA,Draft,40.5,7,0,0,1,5.785714285714286
David Fletcher,35156,8,0,1,153,NA,NA,Draft,39.5,30,1,0,0,1.3166666666666667
David Peralta,33384,8,0,1,153,NA,NA,Draft,238,113,1,0,0,2.106194690265487
Devin Williams,33224,1,0,1,2,NA,NA,Draft,0,0,NA,NA,NA,0
Dinelson Lamet,36157,1,0,1,1,NA,NA,Draft,0,0,NA,NA,NA,0
DJ LeMahieu,30765,14,0,1,33,NA,NA,Draft,60.5,26,1,0,0,2.326923076923077
Drew Rasmussen,42584,5,0,1,153,NA,NA,Draft,245,18,0,1,0,13.61111111111111
Dylan Carlson,39226,4,0,1,153,NA,NA,Draft,234.5,108,1,0,0,2.1712962962962963
Dylan Cease,34943,6,0,1,153,NA,NA,Draft,526,27,0,1,0,19.48148148148148
Eddie Rosario,31944,5,0,1,60,NA,NA,Draft,5,15,1,0,0,0.3333333333333333
Eduardo Escobar,30272,5,0,1,153,NA,NA,Draft,216.5,109,1,0,0,1.9862385321100917
Eduardo Rodriguez,32675,6,0,1,153,NA,NA,Draft,99,9,0,1,0,11
Edwin Diaz,35394,8,0,1,153,NA,NA,Draft,271,48,0,0,1,5.645833333333333
Eloy Jimenez,33867,12,0,1,72,NA,NA,Draft,18,11,1,0,0,1.6363636363636365
Emmanuel Clase,41743,8,0,1,153,NA,NA,Draft,147.5,34,0,0,1,4.338235294117647
Enrique Hernandez,31358,4,0,1,118,NA,NA,Draft,114.5,48,1,0,0,2.3854166666666665
Eric Hosmer,30993,5,0,1,153,NA,NA,Draft,216.5,101,1,0,0,2.1435643564356437
Eugenio Suarez,32367,1,0,1,153,NA,NA,Draft,267,111,1,0,0,2.4054054054054053
Fernando Tatis Jr.,35983,2,0,1,128,NA,NA,Draft,0,0,NA,NA,NA,0
Framber Valdez,36581,2,0,1,153,NA,NA,Draft,507,25,0,1,0,20.28
Francisco Lindor,32129,9,0,1,153,NA,NA,Draft,395,133,1,0,0,2.969924812030075
Frank Schwindel,34714,14,0,1,11,NA,NA,Draft,18.5,7,1,0,0,2.642857142857143
Frankie Montas,33249,5,0,1,153,NA,NA,Draft,331.5,25,0,1,0,13.26
Franmil Reyes,33339,13,0,1,50,NA,NA,Draft,35.5,20,1,0,0,1.775
Freddie Freeman,30193,12,0,1,153,NA,NA,Draft,480,134,1,0,0,3.582089552238806
Freddy Peralta,39825,1,0,1,153,NA,NA,Draft,165.5,12,0,1,0,13.791666666666666
Garrett Whitlock,39674,13,0,1,123,NA,NA,Draft,125,15,0,0.5,0.5,8.333333333333334
Gary Sanchez,31095,6,0,1,99,NA,NA,Draft,139,64,1,0,0,2.171875
George Springer,32078,13,0,1,153,NA,NA,Draft,326,102,1,0,0,3.196078431372549
German Marquez,34874,8,0,1,153,NA,NA,Draft,274,25,0,1,0,10.96
Gerrit Cole,32081,8,0,1,153,NA,NA,Draft,518,27,0,1,0,19.185185185185187
Giancarlo Stanton,30583,1,0,1,153,NA,NA,Draft,232.5,88,1,0,0,2.6420454545454546
Giovanny Gallegos,36050,14,0,1,153,NA,NA,Draft,175.5,47,0,0,1,3.734042553191489
Gleyber Torres,33804,2,0,1,153,NA,NA,Draft,255.5,118,1,0,0,2.1652542372881354
Gregory Soto,39804,1,0,1,33,NA,NA,Draft,27,9,0,0,1,3
Huascar Ynoa,39679,9,0,1,13,NA,NA,Draft,0,0,0,1,0,0
Hunter Renfroe,33205,11,0,1,153,NA,NA,Draft,279.5,97,1,0,0,2.881443298969072
Hyun Jin Ryu,32582,1,0,1,64,NA,NA,Draft,21,4,0,1,0,5.25
Ian Anderson,40916,14,0,1,38,NA,NA,Draft,55,6,0,1,0,9.166666666666666
Ian Happ,34945,5,0,1,153,NA,NA,Draft,337,131,1,0,0,2.572519083969466
J.D. Martinez,31065,6,0,1,153,NA,NA,Draft,277,116,1,0,0,2.3879310344827585
J.P. Crawford,33210,13,0,1,146,NA,NA,Draft,219.5,108,1,0,0,2.0324074074074074
J.T. Realmuto,32177,9,0,1,153,NA,NA,Draft,316.5,114,1,0,0,2.776315789473684
Jack Flaherty,33837,12,0,1,81,NA,NA,Draft,6,1,0,1,0,6
Jacob deGrom,32796,14,0,1,112,NA,NA,Draft,0,0,NA,NA,NA,0
Jake Cronenworth,36364,11,0,1,153,NA,NA,Draft,346.5,133,1,0,0,2.6052631578947367
Jake McGee,28959,1,0,1,21,NA,NA,Draft,14,6,0,0,1,2.3333333333333335
Jared Walsh,35673,7,0,1,141,NA,NA,Draft,185.5,103,1,0,0,1.8009708737864079
Jarred Kelenic,41150,6,0,1,24,NA,NA,Draft,28,18,1,0,0,1.5555555555555556
Javier Baez,32127,11,0,1,67,NA,NA,Draft,37,32,1,0,0,1.15625
Jazz Chisholm Jr.,41433,9,0,1,111,NA,NA,Draft,195.5,60,1,0,0,3.2583333333333333
Jean Segura,31037,7,0,1,153,NA,NA,Draft,169.5,71,1,0,0,2.387323943661972
Jeff McNeil,33900,6,0,1,34,NA,NA,Draft,77,28,1,0,0,2.75
Jeimer Candelario,32531,5,0,1,60,NA,NA,Draft,72.5,52,1,0,0,1.3942307692307692
Jesse Winker,32833,1,0,1,34,NA,NA,Draft,56.5,31,1,0,0,1.8225806451612903
Jesus Aguilar,32132,12,0,1,4,NA,NA,Draft,0.5,2,1,0,0,0.25
Jesus Luzardo,39667,9,0,1,53,NA,NA,Draft,47.5,4,0,1,0,11.875
Joc Pederson,31392,9,0,1,119,NA,NA,Draft,203,84,1,0,0,2.4166666666666665
Joe Barlow,41741,4,0,1,14,NA,NA,Draft,4.5,3,0,0,1,1.5
Joe Musgrove,34848,7,0,1,153,NA,NA,Draft,445,24,0,1,0,18.541666666666668
Joe Ryan,42450,7,0,1,153,NA,NA,Draft,247.5,20,0,1,0,12.375
Joey Gallo,32818,2,0,1,40,NA,NA,Draft,40,29,1,0,0,1.3793103448275863
Joey Votto,28670,13,0,1,133,NA,NA,Draft,173,88,1,0,0,1.9659090909090908
John Means,39948,9,0,1,12,NA,NA,Draft,8.5,1,0,1,0,8.5
Jon Gray,33203,1,0,1,54,NA,NA,Draft,33,5,0,1,0,6.6
Jonathan India,41171,13,0,1,153,NA,NA,Draft,135,64,1,0,0,2.109375
Jonathan Loaisiga,39807,6,0,1,21,NA,NA,Draft,8.5,8,0,0,1,1.0625
Jonathan Schoop,31988,11,0,1,12,NA,NA,Draft,13.5,7,1,0,0,1.9285714285714286
Jordan Montgomery,38173,4,0,1,153,NA,NA,Draft,347,24,0,1,0,14.458333333333334
Jordan Romano,36380,2,0,1,153,NA,NA,Draft,233.5,50,0,0,1,4.67
Jorge Polanco,32525,11,0,1,153,NA,NA,Draft,247,99,1,0,0,2.494949494949495
Jorge Soler,32558,2,0,1,108,NA,NA,Draft,157.5,72,1,0,0,2.1875
Jose Abreu,33095,7,0,1,153,NA,NA,Draft,357.5,133,1,0,0,2.68796992481203
Jose Altuve,31662,2,0,1,153,NA,NA,Draft,374,116,1,0,0,3.2241379310344827
Jose Berrios,32811,11,0,1,140,NA,NA,Draft,215,17,0,1,0,12.647058823529411
Jose Ramirez,32801,7,0,1,153,NA,NA,Draft,479.5,129,1,0,0,3.7170542635658914
Jose Urquidy,35759,5,0,1,153,NA,NA,Draft,4.5,1,0,1,0,4.5
Josh Bell,32517,13,0,1,153,NA,NA,Draft,350,132,1,0,0,2.6515151515151514
Josh Donaldson,29563,6,0,1,153,NA,NA,Draft,204.5,107,1,0,0,1.911214953271028
Josh Hader,32760,5,0,1,153,NA,NA,Draft,158,44,0,0,1,3.590909090909091
Juan Soto,36969,1,0,1,49,NA,NA,Draft,133.5,45,1,0,0,2.966666666666667
Julio Rodriguez,41044,1,0,1,10,NA,NA,Draft,-0.5,3,1,0,0,-0.16666666666666666
Julio Urias,33223,8,0,1,153,NA,NA,Draft,458.5,26,0,1,0,17.634615384615383
Justin Turner,29607,12,0,1,153,NA,NA,Draft,286,108,1,0,0,2.6481481481481484
Justin Verlander,6341,13,0,1,153,NA,NA,Draft,523,24,0,1,0,21.791666666666668
Ke'Bryan Hayes,35020,4,0,1,153,NA,NA,Draft,199.5,111,1,0,0,1.7972972972972974
Keibert Ruiz,38827,8,0,1,153,NA,NA,Draft,208,109,1,0,0,1.908256880733945
Kenley Jansen,29630,5,0,1,153,NA,NA,Draft,205.5,51,0,0,1,4.029411764705882
Ketel Marte,32512,8,0,1,153,NA,NA,Draft,273.5,116,1,0,0,2.3577586206896552
Kevin Gausman,32667,12,0,1,153,NA,NA,Draft,410,26,0,1,0,15.76923076923077
Kolten Wong,32061,12,0,1,65,NA,NA,Draft,118.5,51,1,0,0,2.323529411764706
Kris Bryant,33172,11,0,1,140,NA,NA,Draft,111,39,1,0,0,2.8461538461538463
Kyle Finnegan,36543,13,0,1,10,NA,NA,Draft,6.5,4,0,0,1,1.625
Kyle Gibson,31053,7,0,1,153,NA,NA,Draft,284.5,23,0,1,0,12.369565217391305
Kyle Hendricks,33173,5,0,1,153,NA,NA,Draft,150.5,16,0,1,0,9.40625
Kyle Schwarber,33712,13,0,1,153,NA,NA,Draft,376.5,126,1,0,0,2.988095238095238
Kyle Tucker,34967,8,0,1,153,NA,NA,Draft,388.5,124,1,0,0,3.1330645161290325
Lance Lynn,30820,4,0,1,153,NA,NA,Draft,175,12,0,1,0,14.583333333333334
Liam Hendriks,31755,8,0,1,153,NA,NA,Draft,161.5,37,0,0,1,4.364864864864865
Logan Gilbert,41221,8,0,1,153,NA,NA,Draft,386,27,0,1,0,14.296296296296296
Logan Webb,41216,9,0,1,153,NA,NA,Draft,423,27,0,1,0,15.666666666666666
Lou Trivino,35844,7,0,1,27,NA,NA,Draft,-0.5,5,0,0,1,-0.1
Lourdes Gurriel Jr.,36040,4,0,1,153,NA,NA,Draft,273,118,1,0,0,2.3135593220338984
Lucas Giolito,32697,14,0,1,153,NA,NA,Draft,264.5,24,0,1,0,11.020833333333334
Luis Arraez,39572,2,0,1,153,NA,NA,Draft,332,116,1,0,0,2.8620689655172415
Luis Castillo,35124,4,0,1,49,NA,NA,Draft,35,3,0,1,0,11.666666666666666
Luis Garcia,4684365,12,0,1,153,NA,NA,Draft,328.5,24,0,1,0,13.6875
Luis Patino,41176,6,0,1,2,NA,NA,Draft,0,0,NA,NA,NA,0
Luis Robert,39631,13,0,1,153,NA,NA,Draft,257,85,1,0,0,3.023529411764706
Luis Severino,33263,1,0,1,153,NA,NA,Draft,240,16,0,1,0,15
Luis Urias,35383,11,0,1,153,NA,NA,Draft,200.5,94,1,0,0,2.132978723404255
Luke Voit,35201,1,0,1,153,NA,NA,Draft,232.5,106,1,0,0,2.193396226415094
Manny Machado,31097,6,0,1,153,NA,NA,Draft,424.5,122,1,0,0,3.4795081967213113
Marcell Ozuna,31668,6,0,1,134,NA,NA,Draft,224.5,107,1,0,0,2.0981308411214954
Marco Gonzales,33158,2,0,1,36,NA,NA,Draft,44.5,6,0,1,0,7.416666666666667
Marcus Semien,32146,7,0,1,153,NA,NA,Draft,368,125,1,0,0,2.944
Marcus Stroman,32815,9,0,1,68,NA,NA,Draft,41.5,7,0,1,0,5.928571428571429
Mark Canha,31670,6,0,1,93,NA,NA,Draft,165,66,1,0,0,2.5
Mark Melancon,29446,2,0,1,38,NA,NA,Draft,19.5,12,0,0,1,1.625
Matt Barnes,32147,7,0,1,25,NA,NA,Draft,9,9,0,0,1,1
Matt Brash,4894467,4,0,1,23,NA,NA,Draft,14,3,0,1,0,4.666666666666667
Matt Chapman,33857,1,0,1,153,NA,NA,Draft,315,127,1,0,0,2.4803149606299213
Matt Olson,32767,2,0,1,153,NA,NA,Draft,395,135,1,0,0,2.925925925925926
Max Fried,32685,9,0,1,112,NA,NA,Draft,333.5,19,0,1,0,17.55263157894737
Max Kepler,31870,4,0,1,18,NA,NA,Draft,27,16,1,0,0,1.6875
Max Muncy,33303,6,0,1,124,NA,NA,Draft,185,88,1,0,0,2.102272727272727
Max Scherzer,28976,13,0,1,153,NA,NA,Draft,430,20,0,1,0,21.5
Michael Brantley,30043,12,0,1,128,NA,NA,Draft,174.5,64,1,0,0,2.7265625
Michael Conforto,33711,8,0,1,35,NA,NA,Draft,0,0,NA,NA,NA,0
Michael Kopech,33763,4,0,1,153,NA,NA,Draft,163,17,0,1,0,9.588235294117647
Miguel Sano,31260,9,0,1,16,NA,NA,Draft,10.5,13,1,0,0,0.8076923076923077
Mike Clevinger,32769,1,0,1,153,NA,NA,Draft,177.5,17,0,0.9444444444444444,0.05555555555555558,10.441176470588236
Mike Moustakas,29999,2,0,1,8,NA,NA,Draft,2,5,1,0,0,0.4
Mike Trout,30836,13,0,1,153,NA,NA,Draft,310.5,94,1,0,0,3.3031914893617023
Mike Yastrzemski,33341,12,0,1,153,NA,NA,Draft,253.5,121,1,0,0,2.0950413223140494
Mitch Haniger,32771,7,0,1,153,NA,NA,Draft,90.5,34,1,0,0,2.661764705882353
Mookie Betts,33039,5,0,1,153,NA,NA,Draft,384.5,91,1,0,0,4.225274725274725
Myles Straw,39105,8,0,1,153,NA,NA,Draft,224,124,1,0,0,1.8064516129032258
Nathan Eovaldi,31174,12,0,1,153,NA,NA,Draft,201.5,16,0,1,0,12.59375
Nathaniel Lowe,40538,2,0,1,51,NA,NA,Draft,59.5,39,1,0,0,1.5256410256410255
Nelson Cruz,6242,9,0,1,112,NA,NA,Draft,194,89,1,0,0,2.1797752808988764
Nestor Cortes,36480,11,0,1,144,NA,NA,Draft,393,23,0,1,0,17.08695652173913
Nick Castellanos,31187,1,0,1,153,NA,NA,Draft,273.5,127,1,0,0,2.1535433070866143
Nick Pivetta,36071,13,0,1,11,NA,NA,Draft,1.5,2,0,1,0,0.75
Noah Syndergaard,31730,6,0,1,34,NA,NA,Draft,74,5,0,1,0,14.8
Nolan Arenado,31261,1,0,1,49,NA,NA,Draft,135,42,1,0,0,3.2142857142857144
Omar Narvaez,34254,5,0,1,5,NA,NA,Draft,0,0,1,0,0,0
Ozzie Albies,33783,4,0,1,104,NA,NA,Draft,158,62,1,0,0,2.5483870967741935
Pablo Lopez,39671,13,0,1,153,NA,NA,Draft,349,26,0,1,0,13.423076923076923
Patrick Corbin,31313,12,0,1,6,NA,NA,Draft,5.5,1,0,1,0,5.5
Patrick Sandoval,40975,6,0,1,55,NA,NA,Draft,124,7,0,1,0,17.714285714285715
Paul Goldschmidt,31027,5,0,1,153,NA,NA,Draft,512.5,128,1,0,0,4.00390625
Paul Sewald,35009,7,0,1,7,NA,NA,Draft,5,1,0,0,1,5
Pavin Smith,40767,8,0,1,144,NA,NA,Draft,123,65,1,0,0,1.8923076923076922
Pete Alonso,37498,13,0,1,153,NA,NA,Draft,430,133,1,0,0,3.2330827067669174
Rafael Devers,33859,14,0,1,112,NA,NA,Draft,311,87,1,0,0,3.574712643678161
Raisel Iglesias,33618,8,0,1,153,NA,NA,Draft,129,39,0,0,1,3.3076923076923075
Randal Grichuk,31399,5,0,1,153,NA,NA,Draft,247.5,115,1,0,0,2.152173913043478
Randy Arozarena,36488,11,0,1,153,NA,NA,Draft,337.5,122,1,0,0,2.7663934426229506
Ranger Suarez,39817,7,0,1,58,NA,NA,Draft,66,9,0,1,0,7.333333333333333
Rhys Hoskins,35291,5,0,1,153,NA,NA,Draft,348,132,1,0,0,2.6363636363636362
Robbie Grossman,31385,14,0,1,7,NA,NA,Draft,3,5,1,0,0,0.6
Robbie Ray,32175,7,0,1,153,NA,NA,Draft,447,26,0,1,0,17.192307692307693
Robert Suarez,4148749,12,0,1,2,NA,NA,Draft,-8,1,0,0,1,-8
Robinson Cano,6204,2,0,1,6,NA,NA,Draft,6.5,3,1,0,0,2.1666666666666665
Ronald Acuna Jr.,36185,9,0,1,153,NA,NA,Draft,266.5,95,1,0,0,2.805263157894737
Rowan Wick,34190,6,0,1,4,NA,NA,Draft,0,1,0,0,1,0
Ryan McMahon,33247,13,0,1,55,NA,NA,Draft,99,46,1,0,0,2.152173913043478
Ryan Mountcastle,34940,7,0,1,153,NA,NA,Draft,273,117,1,0,0,2.3333333333333335
Ryan Pressly,33072,14,0,1,153,NA,NA,Draft,167.5,37,0,0,1,4.527027027027027
Salvador Perez,31127,2,0,1,153,NA,NA,Draft,221,91,1,0,0,2.4285714285714284
Sandy Alcantara,35241,4,0,1,153,NA,NA,Draft,592.5,27,0,1,0,21.944444444444443
Scott Barlow,32156,12,0,1,153,NA,NA,Draft,212.5,54,0,0,1,3.935185185185185
Sean Manaea,33244,2,0,1,49,NA,NA,Draft,141,8,0,1,0,17.625
Sean Murphy,33557,14,0,1,153,NA,NA,Draft,291.5,123,1,0,0,2.369918699186992
Seiya Suzuki,4142424,2,0,1,153,NA,NA,Draft,208,92,1,0,0,2.260869565217391
Shane Baz,39639,8,0,1,112,NA,NA,Draft,37,4,0,1,0,9.25
Shane Bieber,40912,2,0,1,153,NA,NA,Draft,473,25,0,1,0,18.92
Shane McClanahan,41199,2,0,1,153,NA,NA,Draft,527.5,25,0,0.96,0.040000000000000036,21.1
Shohei Ohtani,39832,14,0,1,153,NA,NA,Draft,776.5,130,0.8538461538461538,0.14615384615384616,2.7755575615628914e-17,5.973076923076923
Sonny Gray,32082,5,0,1,153,NA,NA,Draft,188,14,0,1,0,13.428571428571429
Spencer Torkelson,4424286,4,0,1,34,NA,NA,Draft,28.5,21,1,0,0,1.3571428571428572
Starling Marte,30830,4,0,1,153,NA,NA,Draft,348.5,117,1,0,0,2.9786324786324787
Stephen Strasburg,30373,12,0,1,20,NA,NA,Draft,0,0,NA,NA,NA,0
Steven Matz,33106,13,0,1,46,NA,NA,Draft,65.5,6,0,1,0,10.916666666666666
Tanner Houck,41009,13,0,1,11,NA,NA,Draft,16,2,0,1,0,8
Tarik Skubal,42409,9,0,1,127,NA,NA,Draft,252,16,0,1,0,15.75
Taylor Rogers,33671,14,0,1,153,NA,NA,Draft,201.5,55,0,0,1,3.6636363636363636
Teoscar Hernandez,33377,7,0,1,153,NA,NA,Draft,267.5,103,1,0,0,2.5970873786407767
Tim Anderson,33184,2,0,1,49,NA,NA,Draft,115,37,1,0,0,3.108108108108108
Tommy Edman,39907,14,0,1,153,NA,NA,Draft,340,126,1,0,0,2.6984126984126986
Tommy Pham,31208,6,0,1,153,NA,NA,Draft,290,119,1,0,0,2.436974789915966
Trea Turner,33710,11,0,1,149,NA,NA,Draft,399,127,1,0,0,3.141732283464567
Trent Grisham,34995,13,0,1,38,NA,NA,Draft,21,18,1,0,0,1.1666666666666667
Trevor Bauer,32014,1,0,1,23,NA,NA,Draft,0,0,NA,NA,NA,0
Trevor Rogers,39640,12,0,1,69,NA,NA,Draft,74.5,10,0,1,0,7.45
Trevor Story,32150,1,0,1,153,NA,NA,Draft,213,80,1,0,0,2.6625
Trey Mancini,33351,9,0,1,153,NA,NA,Draft,278,119,1,0,0,2.3361344537815127
Triston McKenzie,34954,14,0,1,153,NA,NA,Draft,387,23,0,0.96,0.040000000000000036,16.82608695652174
Ty France,35591,5,0,1,153,NA,NA,Draft,310.5,115,1,0,0,2.7
Tyler Glasnow,33190,1,0,1,1,NA,NA,Draft,0,0,NA,NA,NA,0
Tyler Mahle,34973,7,0,1,153,NA,NA,Draft,279,21,0,1,0,13.285714285714286
Tyler O'Neill,34168,13,0,1,153,NA,NA,Draft,189.5,77,1,0,0,2.461038961038961
Tyler Rogers,34026,4,0,1,33,NA,NA,Draft,34,12,0,0,1,2.8333333333333335
Tyler Stephenson,34975,7,0,1,117,NA,NA,Draft,126,50,1,0,0,2.52
Vladimir Guerrero Jr.,35002,4,0,1,153,NA,NA,Draft,403,133,1,0,0,3.030075187969925
Walker Buehler,39251,12,0,1,70,NA,NA,Draft,143,12,0,1,0,11.916666666666666
Wander Franco,40929,5,0,1,153,NA,NA,Draft,118,45,1,0,0,2.6222222222222222
Whit Merrifield,32422,1,0,1,153,NA,NA,Draft,255,117,1,0,0,2.1794871794871793
Wil Myers,31265,9,0,1,2,NA,NA,Draft,-2,1,1,0,0,-2
Will Smith,31549,9,0,1,13,NA,NA,Draft,10.5,4,0,0,1,2.625
Will Smith,38309,4,0,1,153,NA,NA,Draft,345.5,114,1,0,0,3.030701754385965
Willson Contreras,32532,13,0,1,153,NA,NA,Draft,294.5,106,1,0,0,2.7783018867924527
