player,player_id,team_id,stint,start,end,rp_eligible,round_id,pick_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Bryce Harper,30951,9,0,1,22,FALSE,3,30,Draft,21.5,9,1,0,0,2.388888888888889
Bryce Miller,4654313,7,0,1,22,FALSE,6,69,Draft,11,2,0,1,0,5.5
Bryson Stott,42417,6,0,1,22,FALSE,15,175,Draft,21.5,8,1,0,0,2.6875
Bubba Chandler,4683325,7,0,1,22,FALSE,24,285,Draft,0,0,NA,NA,NA,0
Byron Buxton,32655,1,0,1,22,FALSE,17,200,Draft,20.5,10,1,0,0,2.05
CJ Abrams,42402,14,0,1,22,FALSE,8,96,Draft,28.5,9,1,0,0,3.1666666666666665
Cade Smith,4987924,12,0,1,16,TRUE,23,266,Draft,13,3,0,0,1,4.333333333333333
Cal Raleigh,41292,11,0,1,22,FALSE,9,105,Draft,25.5,11,1,0,0,2.3181818181818183
Cam Smith,5080766,4,0,1,19,FALSE,25,299,Draft,1.5,4,1,0,0,0.375
Carlos Correa,32653,2,0,1,22,FALSE,11,123,Draft,7,10,1,0,0,0.7
Carlos Rodon,33696,14,0,1,22,FALSE,9,97,Draft,37.5,3,0,1,0,12.5
Carlos Santana,30280,7,0,1,22,FALSE,20,237,Draft,25,9,1,0,0,2.7777777777777777
Ceddanne Rafaela,4987382,8,0,1,22,FALSE,NA,NA,Free Agent,24,10,1,0,0,2.4
Cedric Mullins,35578,13,0,1,22,FALSE,20,229,Draft,42.5,10,1,0,0,4.25
Chris Bassitt,33148,12,0,1,22,FALSE,16,191,Draft,30,1,0,1,0,30
Chris Sale,30948,13,0,1,22,FALSE,2,13,Draft,18.5,2,0,1,0,9.25
Christian Encarnacion-Strand,5012106,14,0,1,18,FALSE,23,265,Draft,9,7,1,0,0,1.2857142857142858
Christian Walker,32758,5,0,1,22,FALSE,9,101,Draft,7,10,1,0,0,0.7
Christian Yelich,31283,4,0,1,22,FALSE,7,83,Draft,17.5,9,1,0,0,1.9444444444444444
Christopher Morel,42927,11,0,1,21,FALSE,15,177,Draft,5,5,1,0,0,1
Clarke Schmidt,41085,5,0,1,13,FALSE,19,221,Draft,0,0,NA,NA,NA,0
Clay Holmes,32827,4,0,1,22,TRUE,15,179,Draft,17.5,2,0,1,0,8.75
Cody Bellinger,33912,9,0,1,22,FALSE,6,67,Draft,24,8,1,0,0,3
Cole Ragans,41054,9,0,1,22,FALSE,2,19,Draft,23,2,0,1,0,11.5
Colt Keith,4683384,8,0,1,22,FALSE,25,298,Draft,18.5,10,1,0,0,1.85
Colton Cowser,4416990,9,0,1,20,FALSE,15,174,Draft,6.5,4,1,0,0,1.625
Connor Norby,4417606,5,0,1,8,FALSE,23,269,Draft,0,0,NA,NA,NA,0
Corbin Burnes,39878,14,0,1,22,FALSE,3,25,Draft,11,2,0,1,0,5.5
Corbin Carroll,42404,8,0,1,22,FALSE,2,15,Draft,42,11,1,0,0,3.8181818181818183
Corey Seager,32691,2,0,1,22,FALSE,2,22,Draft,7.5,9,1,0,0,0.8333333333333334
Cristopher Sanchez,42359,7,0,1,22,FALSE,11,124,Draft,27,2,0,1,0,13.5
Dansby Swanson,34895,6,0,1,22,FALSE,14,162,Draft,36.5,13,1,0,0,2.8076923076923075
Devin Williams,33224,9,0,1,22,TRUE,11,126,Draft,7,3,0,0,1,2.3333333333333335
Drew Rasmussen,42584,1,0,1,22,TRUE,23,272,Draft,30.5,2,0,1,0,15.25
Dustin May,40937,2,0,1,22,FALSE,24,286,Draft,35.5,2,0,1,0,17.75
Dylan Cease,34943,7,0,1,22,FALSE,2,21,Draft,33.5,2,0,1,0,16.75
Dylan Crews,4719511,8,0,1,22,FALSE,14,159,Draft,2.5,9,1,0,0,0.2777777777777778
Dylan Moore,40593,11,0,1,22,FALSE,12,136,Draft,22,9,1,0,0,2.4444444444444446
Edwin Diaz,35394,8,0,1,22,TRUE,15,178,Draft,19,4,0,0,1,4.75
Edwin Uceta,41308,13,0,1,16,TRUE,24,277,Draft,5.5,2,0,0,1,2.75
Elly De La Cruz,4917694,8,0,1,22,FALSE,1,10,Draft,32,11,1,0,0,2.909090909090909
Emmanuel Clase,41743,2,0,1,22,TRUE,13,147,Draft,-1.5,4,0,0,1,-0.375
Eugenio Suarez,32367,7,0,1,22,FALSE,14,165,Draft,41.5,11,1,0,0,3.772727272727273
Evan Carter,4917921,4,0,1,4,FALSE,23,275,Draft,0,0,NA,NA,NA,0
Ezequiel Tovar,4905919,7,0,1,22,FALSE,16,189,Draft,20.5,8,1,0,0,2.5625
Felix Bautista,4905859,5,0,1,22,TRUE,18,212,Draft,3,3,0,0,1,1
Fernando Tatis Jr.,35983,12,0,1,22,FALSE,2,23,Draft,48.5,11,1,0,0,4.409090909090909
Framber Valdez,36581,7,0,1,22,FALSE,3,28,Draft,32.5,2,0,1,0,16.25
Francisco Lindor,32129,5,0,1,22,FALSE,2,20,Draft,17,9,1,0,0,1.8888888888888888
Freddie Freeman,30193,14,0,1,22,FALSE,2,24,Draft,16,3,1,0,0,5.333333333333333
Freddy Peralta,39825,1,0,1,22,FALSE,6,65,Draft,47.5,2,0,1,0,23.75
Garrett Crochet,4297835,6,0,1,22,FALSE,2,18,Draft,41.5,2,0,1,0,20.75
Garrett Mitchell,4313442,6,0,1,14,FALSE,25,295,Draft,-0.5,2,1,0,0,-0.25
Gavin Williams,4345076,6,0,1,22,FALSE,16,186,Draft,11.5,2,0,1,0,5.75
George Kirby,42406,11,0,1,22,FALSE,6,64,Draft,0,0,NA,NA,NA,0
George Springer,32078,14,0,1,22,FALSE,16,192,Draft,35.5,11,1,0,0,3.227272727272727
Gleyber Torres,33804,2,0,1,22,FALSE,14,166,Draft,11,2,1,0,0,5.5
Grant Holmes,33840,8,0,1,16,TRUE,23,274,Draft,1,1,0,0.5,0.5,1
Grayson Rodriguez,41196,6,0,1,22,FALSE,17,199,Draft,0,0,NA,NA,NA,0
Griffin Jax,42604,9,0,1,13,TRUE,23,270,Draft,-0.5,1,0,0,1,-0.5
Gunnar Henderson,42507,11,0,1,22,FALSE,2,16,Draft,4,4,1,0,0,1
Heliot Ramos,39642,4,0,1,22,FALSE,18,206,Draft,34.5,10,1,0,0,3.45
Hunter Brown,4717803,7,0,1,22,FALSE,9,100,Draft,42.5,2,0,1,0,21.25
Hunter Greene,39635,4,0,1,22,FALSE,6,62,Draft,76.5,3,0,1,0,25.5
Ian Happ,34945,5,0,1,22,FALSE,8,92,Draft,39,13,1,0,0,3
Isaac Paredes,39706,6,0,1,22,FALSE,6,66,Draft,16.5,10,1,0,0,1.65
J.T. Realmuto,32177,14,0,1,22,FALSE,18,216,Draft,12.5,7,1,0,0,1.7857142857142858
JJ Bleday,42410,5,0,1,22,FALSE,13,149,Draft,19,11,1,0,0,1.7272727272727273
Jack Flaherty,33837,5,0,1,22,FALSE,12,140,Draft,31.5,2,0,1,0,15.75
Jackson Chourio,4917869,1,0,1,22,FALSE,4,41,Draft,30.5,10,1,0,0,3.05
Jackson Holliday,5080633,9,0,1,22,FALSE,16,187,Draft,19.5,9,1,0,0,2.1666666666666665
Jackson Jobe,4872647,8,0,1,22,FALSE,21,250,Draft,13.5,2,0,1,0,6.75
Jackson Merrill,4872691,7,0,1,22,FALSE,5,52,Draft,40.5,10,1,0,0,4.05
Jacob deGrom,32796,13,0,1,22,FALSE,3,36,Draft,21.5,2,0,1,0,10.75
Jake Burger,39882,6,0,1,22,FALSE,13,151,Draft,19,11,1,0,0,1.7272727272727273
Jake Cronenworth,36364,7,0,1,22,FALSE,13,148,Draft,30,11,1,0,0,2.727272727272727
Jake McCarthy,41197,7,0,1,22,FALSE,19,220,Draft,3,8,1,0,0,0.375
James Wood,4918256,11,0,1,22,FALSE,10,112,Draft,22.5,10,1,0,0,2.25
Jared Jones,4918156,8,0,1,22,FALSE,10,111,Draft,0,0,NA,NA,NA,0
Jarren Duran,41610,6,0,1,22,FALSE,4,42,Draft,25,11,1,0,0,2.272727272727273
Jason Adam,32145,11,0,1,22,TRUE,21,249,Draft,32,6,0,0,1,5.333333333333333
Jasson Dominguez,42401,14,0,1,22,FALSE,14,168,Draft,25,9,1,0,0,2.7777777777777777
Jazz Chisholm Jr.,41433,14,0,1,22,FALSE,7,73,Draft,35.5,10,1,0,0,3.55
Jeff Hoffman,33841,4,0,1,22,TRUE,20,230,Draft,23,5,0,0,1,4.6
Jeimer Candelario,32531,11,0,1,21,FALSE,24,280,Draft,7.5,11,1,0,0,0.6818181818181818
Jeremiah Estrada,41014,13,0,1,16,TRUE,23,276,Draft,18,4,0,0,1,4.5
Jeremy Pena,41273,1,0,1,22,FALSE,18,209,Draft,19,9,1,0,0,2.111111111111111
Jesus Luzardo,39667,12,0,1,22,FALSE,17,194,Draft,16,1,0,1,0,16
Jhoan Duran,41109,9,0,1,22,TRUE,19,222,Draft,10,4,0,0,1,2.5
Jhonkensy Noel,42548,11,0,1,19,FALSE,NA,NA,Free Agent,3,5,1,0,0,0.6
Joc Pederson,31392,13,0,1,12,FALSE,19,228,Draft,2,1,1,0,0,2
Joe Ryan,42450,8,0,1,22,FALSE,7,82,Draft,19,2,0,1,0,9.5
Jonathan India,41171,5,0,1,22,FALSE,15,173,Draft,25.5,10,1,0,0,2.55
Jordan Romano,36380,1,0,1,12,TRUE,22,257,Draft,-4,1,0,0,1,-4
Jordan Walker,4684778,8,0,1,22,FALSE,18,207,Draft,22,9,1,0,0,2.4444444444444446
Jordan Westburg,4298641,8,0,1,22,FALSE,8,87,Draft,30.5,10,1,0,0,3.05
Jorge Soler,32558,13,0,1,22,FALSE,15,180,Draft,21,9,1,0,0,2.3333333333333335
Jose Altuve,31662,1,0,1,22,FALSE,5,56,Draft,33.5,10,1,0,0,3.35
Jose Berrios,32811,7,0,1,22,FALSE,12,141,Draft,13.5,2,0,1,0,6.75
Jose Ramirez,32801,9,0,1,22,FALSE,1,6,Draft,33.5,8,1,0,0,4.1875
Josh Hader,32760,14,0,1,22,TRUE,15,169,Draft,25,4,0,0,1,6.25
Josh Jung,42437,14,0,1,11,FALSE,25,289,Draft,2,1,1,0,0,2
Josh Lowe,40557,7,0,1,12,FALSE,18,213,Draft,1,1,1,0,0,1
Josh Naylor,35066,4,0,1,22,FALSE,5,59,Draft,29.5,11,1,0,0,2.6818181818181817
Juan Soto,36969,12,0,1,22,FALSE,1,2,Draft,33.5,10,1,0,0,3.35
Julio Rodriguez,41044,14,0,1,22,FALSE,5,49,Draft,36,11,1,0,0,3.272727272727273
Jung Hoo Lee,5134621,13,0,1,22,FALSE,9,108,Draft,34,9,1,0,0,3.7777777777777777
Junior Caminero,4905921,11,0,1,22,FALSE,8,88,Draft,4.5,3,1,0,0,1.5
Jurickson Profar,31117,5,0,1,14,FALSE,11,125,Draft,4.5,4,1,0,0,1.125
Justin Martinez,5116851,14,0,1,22,TRUE,22,264,Draft,19,4,0,0,1,4.75
Justin Steele,41022,2,0,1,22,FALSE,9,99,Draft,46,4,0,1,0,11.5
Ke'Bryan Hayes,35020,2,0,1,12,FALSE,NA,NA,Free Agent,5.5,3,1,0,0,1.8333333333333333
Keibert Ruiz,38827,12,0,1,22,FALSE,22,263,Draft,29.5,9,1,0,0,3.2777777777777777
Kerry Carpenter,42714,9,0,1,22,FALSE,14,163,Draft,25.5,10,1,0,0,2.55
Ketel Marte,32512,12,0,1,22,FALSE,3,26,Draft,22,8,1,0,0,2.75
Kevin Gausman,32667,12,0,1,22,FALSE,7,74,Draft,26.5,2,0,1,0,13.25
Kirby Yates,32623,6,0,1,2,TRUE,NA,NA,Free Agent,6,1,0,0,1,6
Kodai Senga,4142421,12,0,1,22,FALSE,11,122,Draft,28.5,2,0,1,0,14.25
Kristian Campbell,5201569,12,0,1,22,FALSE,NA,NA,Free Agent,30.5,8,1,0,0,3.8125
Kyle Finnegan,36543,7,0,1,22,TRUE,25,292,Draft,24.5,5,0,0,1,4.9
Kyle Manzardo,4917927,13,0,1,22,FALSE,22,253,Draft,33.5,8,1,0,0,4.1875
Kyle Schwarber,33712,4,0,1,22,FALSE,3,35,Draft,40,9,1,0,0,4.444444444444445
Kyle Tucker,34967,1,0,1,22,FALSE,1,8,Draft,78,13,1,0,0,6
Lane Thomas,36409,6,0,1,22,FALSE,18,210,Draft,6.5,7,1,0,0,0.9285714285714286
Lars Nootbaar,4448736,13,0,1,22,FALSE,11,132,Draft,39.5,10,1,0,0,3.95
Lawrence Butler,4917919,12,0,1,22,FALSE,9,98,Draft,31.5,11,1,0,0,2.8636363636363638
Logan Gilbert,41221,4,0,1,22,FALSE,2,14,Draft,63.5,3,0,1,0,21.166666666666668
Logan Webb,41216,12,0,1,22,FALSE,5,50,Draft,63,3,0,1,0,21
Lourdes Gurriel Jr.,36040,14,0,1,22,FALSE,17,193,Draft,25,11,1,0,0,2.272727272727273
Lucas Erceg,36618,6,0,1,14,TRUE,24,282,Draft,6,2,0,0,1,3
Luis Arraez,39572,5,0,1,22,FALSE,7,77,Draft,30.5,11,1,0,0,2.772727272727273
Luis Castillo,35124,11,0,1,22,FALSE,5,57,Draft,31.5,2,0,1,0,15.75
Luis Garcia Jr.,40459,4,0,1,17,FALSE,13,155,Draft,3,5,1,0,0,0.6
Luis Gil,40626,9,0,1,22,FALSE,24,283,Draft,0,0,NA,NA,NA,0
Luis Rengifo,37237,13,0,1,22,FALSE,18,205,Draft,5.5,3,1,0,0,1.8333333333333333
Luis Robert Jr.,39631,1,0,1,22,FALSE,11,128,Draft,8.5,9,1,0,0,0.9444444444444444
Luis Severino,33263,14,0,1,22,FALSE,12,144,Draft,36,3,0,1,0,12
Luke Raley,40422,11,0,1,2,FALSE,19,225,Draft,0,0,NA,NA,NA,0
Luke Weaver,33770,6,0,1,22,TRUE,21,247,Draft,21.5,3,0,0,1,7.166666666666667
MacKenzie Gore,39636,13,0,1,22,FALSE,13,156,Draft,3.5,1,0,1,0,3.5
Maikel Garcia,4905884,11,0,1,22,FALSE,23,273,Draft,23,9,1,0,0,2.5555555555555554
Manny Machado,31097,5,0,1,22,FALSE,4,44,Draft,32.5,11,1,0,0,2.9545454545454546
Marcell Ozuna,31668,1,0,1,22,FALSE,9,104,Draft,28.5,9,1,0,0,3.1666666666666665
Marcus Semien,32146,11,0,1,22,FALSE,3,33,Draft,9,11,1,0,0,0.8181818181818182
Mark Vientos,41034,8,0,1,22,FALSE,12,135,Draft,9,10,1,0,0,0.9
Masataka Yoshida,4872598,12,0,1,18,FALSE,24,287,Draft,0,0,NA,NA,NA,0
Mason Miller,4730225,1,0,1,22,TRUE,15,176,Draft,26,4,0,0,1,6.5
Masyn Winn,4683365,13,0,1,22,FALSE,14,157,Draft,20,10,1,0,0,2
Matt Chapman,33857,1,0,1,22,FALSE,10,113,Draft,33,10,1,0,0,3.3
Matt McLain,4422899,13,0,1,22,FALSE,10,109,Draft,26,8,1,0,0,3.25
Matt Olson,32767,8,0,1,22,FALSE,3,34,Draft,25,9,1,0,0,2.7777777777777777
Matt Shaw,4867667,4,0,1,22,FALSE,17,203,Draft,25,12,1,0,0,2.0833333333333335
Matt Vierling,41636,11,0,1,9,FALSE,18,208,Draft,0,0,NA,NA,NA,0
Matt Wallner,42427,9,0,1,22,FALSE,21,246,Draft,24.5,10,1,0,0,2.45
Max Fried,32685,9,0,1,22,FALSE,4,43,Draft,20.5,2,0,1,0,10.25
Max Meyer,4345164,2,0,1,22,FALSE,23,267,Draft,15.5,1,0,1,0,15.5
Max Muncy,33303,12,0,1,22,FALSE,15,170,Draft,8.5,11,1,0,0,0.7727272727272727
Max Scherzer,28976,1,0,1,12,FALSE,16,185,Draft,3,1,0,1,0,3
Merrill Kelly,32968,12,0,1,22,FALSE,18,215,Draft,-4.5,2,0,1,0,-2.25
Michael Busch,42415,9,0,1,13,FALSE,17,198,Draft,6,6,1,0,0,1
Michael Conforto,33711,4,0,1,22,FALSE,16,182,Draft,33.5,9,1,0,0,3.7222222222222223
Michael Harris II,42470,12,0,1,22,FALSE,6,71,Draft,10.5,8,1,0,0,1.3125
Michael King,40429,14,0,1,22,FALSE,6,72,Draft,25,3,0,1,0,8.333333333333334
Michael Kopech,33763,11,0,1,10,TRUE,25,297,Draft,0,0,NA,NA,NA,0
Michael Toglia,42412,9,0,1,22,FALSE,20,235,Draft,5,8,1,0,0,0.625
Michael Wacha,32640,11,0,1,22,FALSE,20,232,Draft,13.5,2,0,1,0,6.75
Miguel Amaya,38905,2,0,1,7,FALSE,NA,NA,Free Agent,2.5,1,1,0,0,2.5
Mike Trout,30836,6,0,1,22,FALSE,5,55,Draft,33.5,9,1,0,0,3.7222222222222223
Mitch Keller,33722,9,0,1,22,FALSE,18,211,Draft,19.5,1,0,1,0,19.5
Mookie Betts,33039,11,0,1,22,FALSE,1,9,Draft,36.5,9,1,0,0,4.055555555555555
Nathan Eovaldi,31174,13,0,1,22,FALSE,16,181,Draft,76.5,3,0,1,0,25.5
Nathaniel Lowe,40538,11,0,1,22,FALSE,16,184,Draft,21,6,1,0,0,3.5
Nestor Cortes,36480,14,0,1,22,FALSE,24,288,Draft,-16.5,1,0,1,0,-16.5
Nick Castellanos,31187,14,0,1,22,FALSE,13,145,Draft,27,9,1,0,0,3
Nick Lodolo,42433,6,0,1,22,FALSE,19,223,Draft,39.5,2,0,1,0,19.75
Nick Pivetta,36071,4,0,1,22,FALSE,11,131,Draft,28.5,2,0,1,0,14.25
Nico Hoerner,41219,9,0,1,22,FALSE,12,139,Draft,36.5,9,1,0,0,4.055555555555555
Nolan Arenado,31261,12,0,1,22,FALSE,14,167,Draft,35.5,9,1,0,0,3.9444444444444446
Nolan Gorman,41174,1,0,1,16,FALSE,25,296,Draft,10,1,1,0,0,10
Nolan Jones,37340,2,0,1,12,FALSE,22,262,Draft,2.5,1,1,0,0,2.5
Nolan Schanuel,4739755,1,0,1,10,FALSE,21,248,Draft,1,1,1,0,0,1
Oneil Cruz,39712,1,0,1,22,FALSE,8,89,Draft,34,11,1,0,0,3.090909090909091
Orion Kerkering,4630789,6,0,1,20,TRUE,22,258,Draft,11.5,4,0,0,1,2.875
Ozzie Albies,33783,8,0,1,22,FALSE,5,58,Draft,20,9,1,0,0,2.2222222222222223
Pablo Lopez,39671,12,0,1,22,FALSE,4,47,Draft,29.5,2,0,1,0,14.75
Parker Meadows,41223,8,0,1,8,FALSE,20,231,Draft,0,0,NA,NA,NA,0
Paul Goldschmidt,31027,1,0,1,22,FALSE,14,161,Draft,28,10,1,0,0,2.8
Paul Skenes,4719507,13,0,1,22,FALSE,1,12,Draft,44,2,0,1,0,22
Pete Alonso,37498,11,0,1,22,FALSE,4,40,Draft,43.5,10,1,0,0,4.35
Pete Crow-Armstrong,4717833,4,0,1,22,FALSE,19,227,Draft,28,12,1,0,0,2.3333333333333335
Porter Hodge,5185133,4,0,1,22,TRUE,NA,NA,Free Agent,14.5,5,0,0,1,2.9
Rafael Devers,33859,2,0,1,22,FALSE,3,27,Draft,33.5,11,1,0,0,3.0454545454545454
Raisel Iglesias,33618,8,0,1,22,TRUE,17,202,Draft,3,2,0,0,1,1.5
Randy Arozarena,36488,2,0,1,22,FALSE,15,171,Draft,22.5,11,1,0,0,2.0454545454545454
Ranger Suarez,39817,11,0,1,22,FALSE,14,160,Draft,0,0,NA,NA,NA,0
Reese Olson,4734319,4,0,1,22,FALSE,22,254,Draft,15.5,1,0,1,0,15.5
Reynaldo Lopez,33860,1,0,1,14,FALSE,13,152,Draft,0,1,0,1,0,0
Rhys Hoskins,35291,5,0,1,20,FALSE,25,293,Draft,7,7,1,0,0,1
Riley Greene,42179,9,0,1,22,FALSE,9,102,Draft,31.5,10,1,0,0,3.15
Robbie Ray,32175,14,0,1,22,FALSE,11,121,Draft,29,2,0,1,0,14.5
Robert Suarez,4148749,14,0,1,22,TRUE,19,217,Draft,36.5,5,0,0,1,7.3
Roki Sasaki,5134638,13,0,1,22,FALSE,7,84,Draft,7.5,2,0,1,0,3.75
Ronald Acuna Jr.,36185,5,0,1,22,FALSE,3,29,Draft,0,0,NA,NA,NA,0
Ronel Blanco,41829,11,0,1,22,FALSE,13,153,Draft,4,2,0,1,0,2
Royce Lewis,40635,2,0,1,22,FALSE,12,142,Draft,0,0,NA,NA,NA,0
Ryan Helsley,39909,8,0,1,22,TRUE,16,183,Draft,12,4,0,0,1,3
Ryan Jeffers,41587,7,0,1,22,FALSE,21,244,Draft,9.5,6,1,0,0,1.5833333333333333
Ryan McMahon,33247,1,0,1,22,FALSE,NA,NA,Free Agent,2,5,1,0,0,0.4
Ryan Mountcastle,34940,6,0,1,22,FALSE,23,271,Draft,21,10,1,0,0,2.1
Ryan Pepiot,4208281,8,0,1,22,FALSE,13,154,Draft,29,2,0,1,0,14.5
Ryan Pressly,33072,1,0,1,22,TRUE,20,233,Draft,11,6,0,0,1,1.8333333333333333
Ryan Walker,5000950,5,0,1,22,TRUE,16,188,Draft,22,5,0,0,1,4.4
Salvador Perez,31127,8,0,1,22,FALSE,6,63,Draft,16.5,10,1,0,0,1.65
Sandy Alcantara,35241,9,0,1,22,FALSE,7,78,Draft,25,2,0,1,0,12.5
Sean Manaea,33244,7,0,1,22,FALSE,17,196,Draft,0,0,NA,NA,NA,0
Seiya Suzuki,4142424,4,0,1,22,FALSE,10,110,Draft,46.5,13,1,0,0,3.576923076923077
Seth Lugo,34873,4,0,1,22,FALSE,14,158,Draft,25,2,0,1,0,12.5
Shane Baz,39639,5,0,1,22,FALSE,21,245,Draft,26,1,0,1,0,26
Shane Bieber,40912,1,0,1,22,FALSE,24,281,Draft,0,0,NA,NA,NA,0
Shane McClanahan,41199,2,0,1,22,FALSE,10,118,Draft,0,0,NA,NA,NA,0
Shea Langeliers,42598,1,0,1,22,FALSE,19,224,Draft,29,9,1,0,0,3.2222222222222223
Shohei Ohtani,39832,14,0,1,22,FALSE,1,1,Draft,53,12,1,0,0,4.416666666666667
Shota Imanaga,5134630,2,0,1,22,FALSE,8,94,Draft,61,3,0,1,0,20.333333333333332
Sonny Gray,32082,2,0,1,22,FALSE,7,75,Draft,23,2,0,1,0,11.5
Spencer Arrighetti,4726080,2,0,1,22,FALSE,17,195,Draft,-1,1,0,1,0,-1
Spencer Horwitz,4228472,5,0,1,13,FALSE,24,284,Draft,0,0,NA,NA,NA,0
Spencer Schwellenbach,4424862,6,0,1,22,FALSE,8,90,Draft,62,2,0,1,0,31
Spencer Steer,4722857,7,0,1,22,FALSE,10,117,Draft,10.5,8,1,0,0,1.3125
Spencer Strider,4307825,4,0,1,22,FALSE,8,86,Draft,0,0,NA,NA,NA,0
Steven Kwan,41996,5,0,1,22,FALSE,6,68,Draft,27.5,9,1,0,0,3.0555555555555554
TJ Friedl,36020,13,0,1,22,FALSE,12,133,Draft,22,10,1,0,0,2.2
Taj Bradley,42480,9,0,1,22,FALSE,13,150,Draft,10,1,0,1,0,10
Tanner Bibee,4345278,11,0,1,22,FALSE,7,81,Draft,9,2,0,1,0,4.5
Tanner Houck,41009,5,0,1,22,FALSE,14,164,Draft,2.5,1,0,1,0,2.5
Tanner Scott,35135,12,0,1,22,TRUE,19,218,Draft,19,6,0,0,1,3.1666666666666665
Tarik Skubal,42409,5,0,1,22,FALSE,1,5,Draft,15,2,0,1,0,7.5
Taylor Ward,34923,11,0,1,22,FALSE,11,129,Draft,12,9,1,0,0,1.3333333333333333
Teoscar Hernandez,33377,8,0,1,22,FALSE,9,106,Draft,48,12,1,0,0,4
Thairo Estrada,36485,6,0,1,4,FALSE,20,234,Draft,0,0,NA,NA,NA,0
Tommy Edman,39907,12,0,1,22,FALSE,12,143,Draft,37,11,1,0,0,3.3636363636363638
Tommy Pham,31208,9,0,1,7,FALSE,25,294,Draft,0,0,NA,NA,NA,0
Tomoyuki Sugano,4142423,4,0,1,6,FALSE,24,278,Draft,0,0,NA,NA,NA,0
Tony Santillan,40950,13,0,1,22,TRUE,25,300,Draft,30,6,0,0,1,5
Trea Turner,33710,14,0,1,22,FALSE,4,48,Draft,10.5,5,1,0,0,2.1
Trevor Larnach,41205,2,0,1,22,FALSE,21,243,Draft,17.5,9,1,0,0,1.9444444444444444
Trevor Megill,40080,4,0,1,22,TRUE,21,251,Draft,17,4,0,0,1,4.25
Trevor Story,32150,9,0,1,22,FALSE,NA,NA,Free Agent,25,10,1,0,0,2.5
