team,team_id,playoffs,last_place,champ,matchup_id,mean_pts,mean_wins
Mt. Everest Taquito Farmers,8,0.1534,0.1948,0.0382,2,5551,8.8
The Novaks,6,0.399,0.049,0.1067,2,6013,10.3
The Talmudic Tunnelers,1,0.3192,0.084,0.08,2,5788,9.9
The Traveling Secretaries,5,0.3286,0.0716,0.0759,2,5874,9.9
The West Bank Occupiers,11,0.4236,0.048,0.1141,2,5926,10.5
Top Gunner: Henderson,14,0.2734,0.0951,0.0646,2,5624,9.8
Tucker? I hardly know her,2,0.3082,0.0788,0.08,2,5691,10
All That is Wright,4,0.5118,0.029,0.1343,3,5906,11
Bibee-di-Bobbidi-Boo,7,0.3385,0.0709,0.0788,3,5770,10.1
Blasphemous Hot Takes,12,0.1996,0.1384,0.0453,3,5575,9.2
Book of Bob,9,0.2371,0.106,0.0578,3,5657,9.5
Ketel Bells,13,0.3743,0.0459,0.0876,3,5734,10.4
Mt. Everest Taquito Farmers,8,0.1101,0.2376,0.0251,3,5533,8.4
The Novaks,6,0.4041,0.0532,0.10780000000000001,3,5994,10.3
The Talmudic Tunnelers,1,0.4178,0.0455,0.1093,3,5794,10.6
The Traveling Secretaries,5,0.4062,0.0422,0.0993,3,5898,10.4
The West Bank Occupiers,11,0.4471,0.0371,0.1174,3,5940,10.6
Top Gunner: Henderson,14,0.2186,0.1181,0.0529,3,5617,9.4
Tucker? I hardly know her,2,0.3348,0.0761,0.0844,3,5711,10.1
All That is Wright,4,0.557,0.0141,0.1429,4,6094,11.2
Bibee-di-Bobbidi-Boo,7,0.3263,0.0491,0.0805,4,5845,10.2
Blasphemous Hot Takes,12,0.1522,0.1372,0.0347,4,5697,8.9
Book of Bob,9,0.161,0.1233,0.043,4,5727,9
Ketel Bells,13,0.4391,0.025,0.1016,4,5790,10.9
Mt. Everest Taquito Farmers,8,0.0498,0.3474,0.0122,4,5438,7.7
The Novaks,6,0.3875,0.0406,0.1025,4,6142,10.2
The Talmudic Tunnelers,1,0.4077,0.0294,0.097,4,5796,10.7
The Traveling Secretaries,5,0.4021,0.0373,0.1053,4,5957,10.5
The West Bank Occupiers,11,0.5255,0.0169,0.1399,4,6071,11.1
Top Gunner: Henderson,14,0.1431,0.1519,0.036,4,5573,8.9
Tucker? I hardly know her,2,0.4487,0.0278,0.1044,4,5877,10.8
All That is Wright,4,0.5265,0.0055,0.1273,5,6824,11.1
Bibee-di-Bobbidi-Boo,7,0.1688,0.0606,0.0386,5,6574,9.3
Blasphemous Hot Takes,12,0.084,0.1191,0.0191,5,6583,8.4
Book of Bob,9,0.1735,0.0578,0.0395,5,6607,9.3
Ketel Bells,13,0.5005,0.0062,0.1086,5,6610,11.4
Mt. Everest Taquito Farmers,8,0.0061,0.591,0.0012,5,6234,6.4
The Novaks,6,0.6885,0.0022,0.204,5,7057,11.7
The Talmudic Tunnelers,1,0.2948,0.026,0.0657,5,6576,10.3
The Traveling Secretaries,5,0.502,0.0076,0.1312,5,6808,11
The West Bank Occupiers,11,0.7407,0.0013,0.2032,5,6898,12.2
Top Gunner: Henderson,14,0.1507,0.0639,0.0265,5,6358,9.5
Tucker? I hardly know her,2,0.1639,0.0588,0.0351,5,6579,9.4
All That is Wright,4,0.6338,0.0022,0.1608,6,6828,11.6
Bibee-di-Bobbidi-Boo,7,0.2072,0.037,0.042,6,6530,9.8
Blasphemous Hot Takes,12,0.0309,0.2465,0.0062,6,6450,7.6
Book of Bob,9,0.1111,0.0818,0.0232,6,6565,8.8
Ketel Bells,13,0.4017,0.0092,0.0895,6,6587,10.9
Mt. Everest Taquito Farmers,8,0.0178,0.3648,0.0034,6,6306,7.3
The Novaks,6,0.5608,0.0043,0.1573,6,7008,11
The Talmudic Tunnelers,1,0.218,0.0359,0.0452,6,6540,9.8
The Traveling Secretaries,5,0.7312,0.0014,0.2043,6,6993,12
The West Bank Occupiers,11,0.8345,4e-4,0.2186,6,6875,12.9
Top Gunner: Henderson,14,0.1936,0.0487,0.037,6,6293,9.9
Tucker? I hardly know her,2,0.0594,0.1678,0.0125,6,6378,8.4
All That is Wright,4,0.7336,8e-4,0.174,7,6803,12.1
Bibee-di-Bobbidi-Boo,7,0.111,0.0845,0.0203,7,6424,9
Blasphemous Hot Takes,12,0.0629,0.1292,0.0118,7,6520,8.3
Book of Bob,9,0.0595,0.1279,0.0118,7,6529,8.2
Ketel Bells,13,0.2543,0.024,0.0491,7,6513,10.1
Mt. Everest Taquito Farmers,8,0.011,0.4368,0.0016,7,6328,6.9
The Novaks,6,0.3958,0.0146,0.1074,7,6944,10.3
The Talmudic Tunnelers,1,0.3648,0.0128,0.0815,7,6635,10.5
The Traveling Secretaries,5,0.8826,2e-4,0.2788,7,7195,12.9
The West Bank Occupiers,11,0.9044,2e-4,0.2265,7,6921,13.4
Top Gunner: Henderson,14,0.1109,0.0839,0.0148,7,6209,9.3
Tucker? I hardly know her,2,0.1092,0.0851,0.0224,7,6441,9
All That is Wright,4,0.8337,1e-4,0.2024,8,6809,12.6
Bibee-di-Bobbidi-Boo,7,0.1536,0.0403,0.028,8,6418,9.5
Blasphemous Hot Takes,12,0.1267,0.0557,0.0285,8,6594,9
Book of Bob,9,0.1231,0.0507,0.0246,8,6586,9.1
Ketel Bells,13,0.3387,0.0112,0.0656,8,6492,10.6
Mt. Everest Taquito Farmers,8,0.0037,0.5594,9e-4,8,6299,6.3
The Novaks,6,0.2829,0.0209,0.0716,8,6899,9.7
The Talmudic Tunnelers,1,0.2384,0.0227,0.0464,8,6541,10
The Traveling Secretaries,5,0.9297,0,0.301,8,7140,13.3
The West Bank Occupiers,11,0.8479,1e-4,0.2105,8,6843,12.7
Top Gunner: Henderson,14,0.0542,0.1356,0.0076,8,6129,8.7
Tucker? I hardly know her,2,0.0674,0.1033,0.0129,8,6432,8.5
All That is Wright,4,0.8885,0,0.2168,9,6882,13.1
Bibee-di-Bobbidi-Boo,7,0.0727,0.0676,0.0105,9,6450,9
Blasphemous Hot Takes,12,0.0594,0.08,0.0123,9,6642,8.5
Book of Bob,9,0.2167,0.0196,0.0487,9,6756,9.7
Ketel Bells,13,0.2038,0.0161,0.0375,9,6518,10.1
Mt. Everest Taquito Farmers,8,0.0058,0.3878,0.0012,9,6384,6.9
The Novaks,6,0.3658,0.0104,0.0857,9,6925,10.2
The Talmudic Tunnelers,1,0.4021,0.0049,0.0912,9,6747,10.7
The Traveling Secretaries,5,0.8798,2e-4,0.2734,9,7160,12.7
The West Bank Occupiers,11,0.8626,1e-4,0.2148,9,6859,13
Top Gunner: Henderson,14,0.0206,0.2293,0.0035,9,6121,8.1
Tucker? I hardly know her,2,0.0222,0.184,0.0044,9,6403,7.9
All That is Wright,4,0.9189,0,0.2195,10,6843,13.4
Bibee-di-Bobbidi-Boo,7,0.0305,0.121,0.0055,10,6393,8.4
Blasphemous Hot Takes,12,0.0977,0.0416,0.0193,10,6664,9
Book of Bob,9,0.1139,0.0368,0.0247,10,6707,9.1
Ketel Bells,13,0.3541,0.0048,0.0667,10,6581,10.8
Mt. Everest Taquito Farmers,8,0.0131,0.2223,0.0028,10,6447,7.6
The Novaks,6,0.4395,0.005,0.1082,10,6885,10.6
The Talmudic Tunnelers,1,0.2871,0.0098,0.0637,10,6717,10.2
The Traveling Secretaries,5,0.9389,0,0.3082,10,7229,13.2
The West Bank Occupiers,11,0.7808,1e-4,0.1781,10,6821,12.3
Top Gunner: Henderson,14,0.0185,0.2208,0.0025,10,6221,8.1
Tucker? I hardly know her,2,0.007,0.3378,8e-4,10,6330,7.3
All That is Wright,4,0.9105,0,0.2145,11,6844,12.8
Bibee-di-Bobbidi-Boo,7,0.074,0.081,0.0138,11,6437,9
Blasphemous Hot Takes,12,0.0423,0.1406,0.0083,11,6578,8.3
Book of Bob,9,0.0605,0.1048,0.0139,11,6656,8.4
Ketel Bells,13,0.3556,0.0086,0.0629,11,6596,10.5
Mt. Everest Taquito Farmers,8,0.053,0.1311,0.0093,11,6560,8.4
The Novaks,6,0.3832,0.0098,0.0941,11,6922,10
The Talmudic Tunnelers,1,0.1875,0.0323,0.0378,11,6675,9.5
The Traveling Secretaries,5,0.9875,0,0.3393,11,7373,13.9
The West Bank Occupiers,11,0.8869,2e-4,0.1986,11,6789,12.7
Top Gunner: Henderson,14,0.0438,0.1651,0.0055,11,6255,8.7
Tucker? I hardly know her,2,0.0152,0.3265,0.002,11,6314,7.7
All That is Wright,4,0.9659,0,0.2391,12,6900,13.4
Bibee-di-Bobbidi-Boo,7,0.0331,0.1161,0.0049,12,6431,8.6
Blasphemous Hot Takes,12,0.0208,0.1815,0.0043,12,6614,7.9
Book of Bob,9,0.1241,0.038,0.0247,12,6774,9.1
Ketel Bells,13,0.1729,0.0219,0.0278,12,6545,9.8
Mt. Everest Taquito Farmers,8,0.0176,0.2172,0.0025,12,6526,7.9
The Novaks,6,0.5353,0.0024,0.1456,12,7038,10.6
The Talmudic Tunnelers,1,0.1924,0.0163,0.039,12,6623,9.9
The Traveling Secretaries,5,0.9459,0,0.3001,12,7238,12.8
The West Bank Occupiers,11,0.9293,0,0.2033,12,6784,13.1
Top Gunner: Henderson,14,0.0157,0.2813,0.0014,12,6181,8.1
Tucker? I hardly know her,2,0.047,0.1253,0.0073,12,6423,8.7
All That is Wright,4,0.9902,0,0.2688,13,6954,14
Bibee-di-Bobbidi-Boo,7,0.0999,0.0326,0.0203,13,6551,9.2
Blasphemous Hot Takes,12,0.0076,0.2909,0.0013,13,6571,7.4
Book of Bob,9,0.2242,0.0098,0.0501,13,6819,9.6
Ketel Bells,13,0.2966,0.0069,0.0497,13,6550,10.4
Mt. Everest Taquito Farmers,8,0.0322,0.1383,0.0057,13,6481,8.4
The Novaks,6,0.3436,0.0057,0.092,13,6984,9.9
The Talmudic Tunnelers,1,0.1117,0.0322,0.0219,13,6614,9.3
The Traveling Secretaries,5,0.8804,0,0.2593,13,7126,12
The West Bank Occupiers,11,0.911,0,0.2123,13,6809,12.7
Top Gunner: Henderson,14,0.0035,0.4377,5e-4,13,6175,7.6
Tucker? I hardly know her,2,0.0991,0.0459,0.0181,13,6500,9.3
All That is Wright,4,0.9946,0,0.2776,14,6951,14.2
Bibee-di-Bobbidi-Boo,7,0.0746,0.0426,0.0129,14,6531,9
Blasphemous Hot Takes,12,0.005,0.3396,9e-4,14,6548,7.2
Book of Bob,9,0.282,0.0078,0.0627,14,6807,9.8
Ketel Bells,13,0.2933,0.0066,0.0521,14,6531,10.4
Mt. Everest Taquito Farmers,8,0.0417,0.1107,0.0085,14,6466,8.6
The Novaks,6,0.242,0.0113,0.0664,14,6940,9.5
The Talmudic Tunnelers,1,0.0949,0.04,0.0187,14,6585,9.1
The Traveling Secretaries,5,0.9044,0,0.2665,14,7114,12.2
The West Bank Occupiers,11,0.8982,0,0.2027,14,6783,12.5
Top Gunner: Henderson,14,0.0049,0.4197,8e-4,14,6160,7.6
Tucker? I hardly know her,2,0.1644,0.0217,0.0302,14,6499,9.8
