player,player_id,team_id,stint,start,end,rp_eligible,team_from,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Charlie Blackmon,31084,8,0,1,35,FALSE,NA,NA,Draft,66,27,1,0,0,2.4444444444444446
Charlie Morton,29155,4,0,1,35,FALSE,NA,NA,Draft,72.5,5,0,1,0,14.5
Chris Bassitt,33148,5,0,1,35,FALSE,NA,NA,Draft,73.5,6,0,1,0,12.25
Chris Sale,30948,6,0,1,35,FALSE,NA,NA,Draft,49,6,0,1,0,8.166666666666666
Chris Taylor,32900,12,0,1,3,FALSE,NA,NA,Draft,1,1,1,0,0,1
Christian Walker,32758,8,0,1,35,FALSE,NA,NA,Draft,74,28,1,0,0,2.642857142857143
Christian Yelich,31283,13,0,1,35,FALSE,NA,NA,Draft,70.5,28,1,0,0,2.517857142857143
Clarke Schmidt,41085,1,0,1,5,TRUE,NA,NA,Draft,3.5,1,0,1,0,3.5
Clay Holmes,32827,8,0,1,35,TRUE,NA,NA,Draft,-5,3,0,0,1,-1.6666666666666667
Clayton Kershaw,28963,1,0,1,35,FALSE,NA,NA,Draft,113,5,0,1,0,22.6
Cody Bellinger,33912,9,0,1,35,FALSE,NA,NA,Draft,106,26,1,0,0,4.076923076923077
Corbin Burnes,39878,6,0,1,35,FALSE,NA,NA,Draft,74,6,0,1,0,12.333333333333334
Corbin Carroll,42404,14,0,1,35,FALSE,NA,NA,Draft,86,26,1,0,0,3.3076923076923075
Corey Seager,32691,5,0,1,35,FALSE,NA,NA,Draft,34.5,11,1,0,0,3.1363636363636362
Craig Kimbrel,30653,11,0,1,8,TRUE,NA,NA,Draft,-7.5,2,0,0,1,-3.75
Cristian Javier,41261,1,0,1,35,FALSE,NA,NA,Draft,57.5,5,0,1,0,11.5
DJ LeMahieu,30765,12,0,1,35,FALSE,NA,NA,Draft,58,27,1,0,0,2.1481481481481484
Daniel Bard,30158,1,0,1,30,TRUE,NA,NA,Draft,9,3,0,0,1,3
Dansby Swanson,34895,1,0,1,35,FALSE,NA,NA,Draft,76,28,1,0,0,2.7142857142857144
Daulton Varsho,40963,12,0,1,35,FALSE,NA,NA,Draft,63.5,29,1,0,0,2.189655172413793
David Bednar,38303,8,0,1,35,TRUE,NA,NA,Draft,49.5,10,0,0,1,4.95
David Robertson,29172,14,0,1,35,TRUE,NA,NA,Draft,60,11,0,0,1,5.454545454545454
Devin Williams,33224,9,0,1,35,TRUE,NA,NA,Draft,50.5,10,0,0,1,5.05
Domingo German,33660,11,0,1,31,FALSE,NA,NA,Draft,57.5,4,0,1,0,14.375
Drew Rasmussen,42584,5,0,1,35,FALSE,NA,NA,Draft,76,6,0,1,0,12.666666666666666
Dustin May,40937,2,0,1,35,FALSE,NA,NA,Draft,83.5,6,0,1,0,13.916666666666666
Dylan Cease,34943,14,0,1,35,FALSE,NA,NA,Draft,74,6,0,1,0,12.333333333333334
Eduardo Rodriguez,32675,6,0,1,11,FALSE,NA,NA,Draft,11,2,0,1,0,5.5
Edward Cabrera,40944,1,0,1,11,FALSE,NA,NA,Draft,9.5,2,0,1,0,4.75
Eloy Jimenez,33867,13,0,1,35,FALSE,NA,NA,Draft,44.5,22,1,0,0,2.022727272727273
Emmanuel Clase,41743,8,0,1,35,TRUE,NA,NA,Draft,59.5,16,0,0,1,3.71875
Enrique Hernandez,31358,12,0,1,3,FALSE,NA,NA,Draft,0,0,1,0,0,0
Eric Lauer,39915,2,0,1,18,FALSE,NA,NA,Draft,27.5,3,0,1,0,9.166666666666666
Eugenio Suarez,32367,1,0,1,35,FALSE,NA,NA,Draft,50.5,29,1,0,0,1.7413793103448276
Evan Phillips,37911,12,0,1,35,TRUE,NA,NA,Draft,39.5,11,0,0,1,3.590909090909091
Ezequiel Tovar,4905919,6,0,1,3,FALSE,NA,NA,Draft,1.5,1,1,0,0,1.5
Felix Bautista,4905859,8,0,1,35,TRUE,NA,NA,Draft,65.5,14,0,0,1,4.678571428571429
Fernando Tatis Jr.,35983,13,0,1,35,FALSE,NA,NA,Draft,30.5,11,1,0,0,2.772727272727273
Framber Valdez,36581,2,0,1,35,FALSE,NA,NA,Draft,115,6,0,1,0,19.166666666666668
Francisco Lindor,32129,7,0,1,35,FALSE,NA,NA,Draft,88.5,29,1,0,0,3.0517241379310347
Freddie Freeman,30193,7,0,1,35,FALSE,NA,NA,Draft,102.5,31,1,0,0,3.306451612903226
Freddy Peralta,39825,9,0,1,35,FALSE,NA,NA,Draft,77.5,5,0,1,0,15.5
Garrett Whitlock,39674,8,0,1,30,TRUE,NA,NA,Draft,27,2,0,1,0,13.5
George Kirby,42406,8,0,1,35,FALSE,NA,NA,Draft,92,5,0,1,0,18.4
George Springer,32078,6,0,1,35,FALSE,NA,NA,Draft,58.5,28,1,0,0,2.0892857142857144
German Marquez,34874,14,0,1,12,FALSE,NA,NA,Draft,24,2,0,1,0,12
Gerrit Cole,32081,12,0,1,35,FALSE,NA,NA,Draft,183,7,0,1,0,26.142857142857142
Giancarlo Stanton,30583,12,0,1,35,FALSE,NA,NA,Draft,42.5,13,1,0,0,3.269230769230769
Giovanny Gallegos,36050,13,0,1,3,TRUE,NA,NA,Draft,0,0,NA,NA,NA,0
Gleyber Torres,33804,9,0,1,35,FALSE,NA,NA,Draft,74,30,1,0,0,2.466666666666667
Graham Ashcraft,4084179,9,0,1,33,FALSE,NA,NA,Draft,53,3,0,1,0,17.666666666666668
Gunnar Henderson,42507,14,0,1,35,FALSE,NA,NA,Draft,36.5,21,1,0,0,1.7380952380952381
Ha-Seong Kim,4089862,9,0,1,23,FALSE,NA,NA,Draft,24.5,20,1,0,0,1.225
Harrison Bader,35062,5,0,1,35,FALSE,NA,NA,Draft,0,0,1,0,0,0
Hayden Wesneski,42996,11,0,1,6,FALSE,NA,NA,Draft,5,1,0,1,0,5
Hunter Brown,4717803,12,0,1,35,FALSE,NA,NA,Draft,70,5,0,1,0,14
Hunter Greene,39635,13,0,1,35,FALSE,NA,NA,Draft,80,6,0,1,0,13.333333333333334
Hunter Renfroe,33205,9,0,1,35,FALSE,NA,NA,Draft,93,29,1,0,0,3.206896551724138
Ian Happ,34945,5,0,1,35,FALSE,NA,NA,Draft,85,28,1,0,0,3.0357142857142856
Isaac Paredes,39706,4,0,1,35,FALSE,NA,NA,Draft,72,24,1,0,0,3
J.D. Martinez,31065,1,0,1,35,FALSE,NA,NA,Draft,63,23,1,0,0,2.739130434782609
J.T. Realmuto,32177,9,0,1,35,FALSE,NA,NA,Draft,59,27,1,0,0,2.185185185185185
Jack Flaherty,33837,9,0,1,10,FALSE,NA,NA,Draft,0,0,0,1,0,0
Jacob deGrom,32796,13,0,1,35,FALSE,NA,NA,Draft,111.5,6,0,1,0,18.583333333333332
Jake Cronenworth,36364,7,0,1,35,FALSE,NA,NA,Draft,52.5,29,1,0,0,1.8103448275862069
Jake McCarthy,41197,2,0,1,23,FALSE,NA,NA,Draft,19,18,1,0,0,1.0555555555555556
James Karinchak,40715,13,0,1,11,TRUE,NA,NA,Draft,10,5,0,0,1,2
Jameson Taillon,31258,5,0,1,35,FALSE,NA,NA,Draft,26.5,3,0,1,0,8.833333333333334
Jarred Kelenic,41150,6,0,1,6,FALSE,NA,NA,Draft,0.5,2,1,0,0,0.25
Jason Adam,32145,2,0,1,20,TRUE,NA,NA,Draft,18.5,5,0,0,1,3.7
Javier Baez,32127,14,0,1,6,FALSE,NA,NA,Draft,0.5,3,1,0,0,0.16666666666666666
Jazz Chisholm Jr.,41433,8,0,1,35,FALSE,NA,NA,Draft,64.5,29,1,0,0,2.2241379310344827
Jean Segura,31037,7,0,1,7,FALSE,NA,NA,Draft,-3,6,1,0,0,-0.5
Jeff McNeil,33900,5,0,1,35,FALSE,NA,NA,Draft,80,29,1,0,0,2.7586206896551726
Jeffrey Springs,35397,4,0,1,20,TRUE,NA,NA,Draft,74,3,0,1,0,24.666666666666668
Jeremy Pena,41273,6,0,1,12,FALSE,NA,NA,Draft,31.5,11,1,0,0,2.8636363636363638
Jesse Winker,32833,1,0,1,26,FALSE,NA,NA,Draft,20.5,10,1,0,0,2.05
Jesus Luzardo,39667,8,0,1,35,FALSE,NA,NA,Draft,89,6,0,1,0,14.833333333333334
Jhoan Duran,41109,6,0,1,11,TRUE,NA,NA,Draft,16,3,0,0,1,5.333333333333333
Joc Pederson,31392,13,0,1,16,FALSE,NA,NA,Draft,21.5,9,1,0,0,2.388888888888889
Joe Musgrove,34848,2,0,1,35,FALSE,NA,NA,Draft,0,2,0,1,0,0
Joe Ryan,42450,7,0,1,35,FALSE,NA,NA,Draft,134,6,0,1,0,22.333333333333332
Joey Gallo,32818,9,0,1,35,FALSE,NA,NA,Draft,45,16,1,0,0,2.8125
Joey Meneses,34534,13,0,1,31,FALSE,NA,NA,Draft,29,22,1,0,0,1.3181818181818181
Joey Wendle,33017,5,0,1,26,FALSE,NA,NA,Draft,0,3,1,0,0,0
John Schreiber,39949,4,0,1,12,TRUE,NA,NA,Draft,19,5,0,0,1,3.8
Jon Berti,32273,2,0,1,1,FALSE,NA,NA,Draft,-0.5,1,1,0,0,-0.5
Jon Gray,33203,13,0,1,35,FALSE,NA,NA,Draft,52.5,6,0,1,0,8.75
Jonathan India,41171,2,0,1,35,FALSE,NA,NA,Draft,83,30,1,0,0,2.7666666666666666
Jordan Montgomery,38173,4,0,1,35,FALSE,NA,NA,Draft,91.5,6,0,1,0,15.25
Jordan Romano,36380,5,0,1,35,TRUE,NA,NA,Draft,54.5,14,0,0,1,3.892857142857143
Jordan Walker,4684778,14,0,1,28,FALSE,NA,NA,Draft,43,19,1,0,0,2.263157894736842
Jorge Lopez,33833,1,0,1,19,TRUE,NA,NA,Draft,34.5,7,0,0,1,4.928571428571429
Jorge Polanco,32525,2,0,1,35,FALSE,NA,NA,Draft,30,10,1,0,0,3
Jorge Soler,32558,14,0,1,6,FALSE,NA,NA,Draft,11.5,6,1,0,0,1.9166666666666667
Jose Abreu,33095,5,0,1,35,FALSE,NA,NA,Draft,38,30,1,0,0,1.2666666666666666
Jose Altuve,31662,5,0,1,35,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Jose Berrios,32811,14,0,1,35,FALSE,NA,NA,Draft,49,5,0,1,0,9.8
Jose Leclerc,33926,4,0,1,33,TRUE,NA,NA,Draft,27.5,10,0,0,1,2.75
Jose Miranda,41000,4,0,1,35,FALSE,NA,NA,Draft,51,28,1,0,0,1.8214285714285714
Jose Quintana,32106,1,0,1,3,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Jose Ramirez,32801,5,0,1,35,FALSE,NA,NA,Draft,95.5,30,1,0,0,3.183333333333333
Jose Urquidy,35759,14,0,1,3,FALSE,NA,NA,Draft,0,0,0,1,0,0
Josh Bell,32517,14,0,1,35,FALSE,NA,NA,Draft,64,29,1,0,0,2.206896551724138
Josh Donaldson,29563,9,0,1,7,FALSE,NA,NA,Draft,6,5,1,0,0,1.2
Josh Hader,32760,14,0,1,35,TRUE,NA,NA,Draft,81,14,0,0,1,5.785714285714286
Josh Naylor,35066,12,0,1,35,FALSE,NA,NA,Draft,52,26,1,0,0,2
Josh Rojas,40718,11,0,1,35,FALSE,NA,NA,Draft,64.5,23,1,0,0,2.8043478260869565
Juan Soto,36969,1,0,1,35,FALSE,NA,NA,Draft,89.5,31,1,0,0,2.8870967741935485
Julio Rodriguez,41044,9,0,1,35,FALSE,NA,NA,Draft,73,27,1,0,0,2.7037037037037037
Julio Urias,33223,9,0,1,35,FALSE,NA,NA,Draft,112.5,7,0,1,0,16.071428571428573
Jurickson Profar,31117,1,0,1,5,FALSE,NA,NA,Draft,0.5,1,1,0,0,0.5
Justin Steele,41022,8,0,1,35,FALSE,NA,NA,Draft,123,6,0,1,0,20.5
Justin Turner,29607,5,0,1,35,FALSE,NA,NA,Draft,73.5,31,1,0,0,2.370967741935484
Justin Verlander,6341,8,0,1,35,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Ke'Bryan Hayes,35020,4,0,1,12,FALSE,NA,NA,Draft,9.5,10,1,0,0,0.95
Keibert Ruiz,38827,13,0,1,35,FALSE,NA,NA,Draft,48.5,25,1,0,0,1.94
Kendall Graveman,33636,1,0,1,11,TRUE,NA,NA,Draft,6.5,4,0,0,1,1.625
Kenley Jansen,29630,6,0,1,12,TRUE,NA,NA,Draft,15,3,0,0,1,5
Ketel Marte,32512,13,0,1,35,FALSE,NA,NA,Draft,74.5,26,1,0,0,2.8653846153846154
Kevin Gausman,32667,14,0,1,35,FALSE,NA,NA,Draft,140,6,0,1,0,23.333333333333332
Kodai Senga,4142421,1,0,1,35,FALSE,NA,NA,Draft,35,4,0,1,0,8.75
Kris Bryant,33172,7,0,1,35,FALSE,NA,NA,Draft,60.5,27,1,0,0,2.240740740740741
Kyle Finnegan,36543,4,0,1,3,TRUE,NA,NA,Draft,-3,1,0,0,1,-3
Kyle Schwarber,33712,11,0,1,35,FALSE,NA,NA,Draft,79.5,31,1,0,0,2.564516129032258
Kyle Tucker,34967,6,0,1,12,FALSE,NA,NA,Draft,42.5,11,1,0,0,3.8636363636363638
Kyle Wright,39652,14,0,1,35,FALSE,NA,NA,Draft,12.5,3,0,1,0,4.166666666666667
Lance Lynn,30820,1,0,1,11,FALSE,NA,NA,Draft,5,2,0,1,0,2.5
Lance McCullers Jr.,32764,4,0,1,35,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Lane Thomas,36409,4,0,1,5,FALSE,NA,NA,Draft,6.5,4,1,0,0,1.625
Lars Nootbaar,4448736,9,0,1,35,FALSE,NA,NA,Draft,40.5,16,1,0,0,2.53125
Liam Hendriks,31755,6,0,1,35,TRUE,NA,NA,Draft,0,0,NA,NA,NA,0
Logan Gilbert,41221,12,0,1,35,FALSE,NA,NA,Draft,71.5,5,0,1,0,14.3
Logan Webb,41216,4,0,1,35,FALSE,NA,NA,Draft,95,6,0,1,0,15.833333333333334
Lourdes Gurriel Jr.,36040,2,0,1,2,FALSE,NA,NA,Draft,0.5,1,1,0,0,0.5
Lucas Giolito,32697,6,0,1,35,FALSE,NA,NA,Draft,70.5,5,0,1,0,14.1
Luis Arraez,39572,11,0,1,35,FALSE,NA,NA,Draft,88,25,1,0,0,3.52
Luis Castillo,35124,12,0,1,35,FALSE,NA,NA,Draft,115,6,0,1,0,19.166666666666668
Luis Garcia,40459,5,0,1,35,FALSE,NA,NA,Draft,55,24,1,0,0,2.2916666666666665
Luis Garcia,4684365,7,0,1,35,FALSE,NA,NA,Draft,40.5,5,0,1,0,8.1
Luis Robert Jr.,39631,12,0,1,35,FALSE,NA,NA,Draft,61,29,1,0,0,2.103448275862069
Luis Severino,33263,9,0,1,35,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Luis Urias,35383,4,0,1,2,FALSE,NA,NA,Draft,0,1,1,0,0,0
MJ Melendez,40948,5,0,1,35,FALSE,NA,NA,Draft,44.5,26,1,0,0,1.7115384615384615
Manny Machado,31097,12,0,1,35,FALSE,NA,NA,Draft,58,30,1,0,0,1.9333333333333333
Manuel Margot,33599,2,0,1,32,FALSE,NA,NA,Draft,44,25,1,0,0,1.76
Marcus Semien,32146,4,0,1,35,FALSE,NA,NA,Draft,108,29,1,0,0,3.7241379310344827
Marcus Stroman,32815,9,0,1,35,FALSE,NA,NA,Draft,114.5,6,0,1,0,19.083333333333332
Mark Canha,31670,7,0,1,16,FALSE,NA,NA,Draft,13.5,12,1,0,0,1.125
Martin Perez,31098,13,0,1,35,FALSE,NA,NA,Draft,74.5,6,0,1,0,12.416666666666666
Masataka Yoshida,4872598,12,0,1,35,FALSE,NA,NA,Draft,90.5,25,1,0,0,3.62
Matt Carpenter,31015,11,0,1,35,FALSE,NA,NA,Draft,51.5,19,1,0,0,2.710526315789474
Matt Chapman,33857,1,0,1,35,FALSE,NA,NA,Draft,107.5,29,1,0,0,3.706896551724138
Matt Olson,32767,12,0,1,35,FALSE,NA,NA,Draft,106,30,1,0,0,3.533333333333333
Matthew Boyd,34401,11,0,1,6,TRUE,NA,NA,Draft,0,0,0,1,0,0
Max Fried,32685,8,0,1,35,FALSE,NA,NA,Draft,76,4,0,1,0,19
Max Kepler,31870,6,0,1,10,FALSE,NA,NA,Draft,7,4,1,0,0,1.75
Max Muncy,33303,4,0,1,35,FALSE,NA,NA,Draft,106,27,1,0,0,3.925925925925926
Max Scherzer,28976,11,0,1,35,FALSE,NA,NA,Draft,45.5,4,0,1,0,11.375
Merrill Kelly,32968,12,0,1,35,FALSE,NA,NA,Draft,84,6,0,1,0,14
Michael Conforto,33711,7,0,1,32,FALSE,NA,NA,Draft,33.5,18,1,0,0,1.8611111111111112
Michael Harris II,42470,4,0,1,35,FALSE,NA,NA,Draft,16,11,1,0,0,1.4545454545454546
Michael King,40429,6,0,1,35,TRUE,NA,NA,Draft,56,9,0,0,1,6.222222222222222
Michael Kopech,33763,4,0,1,5,FALSE,NA,NA,Draft,-4.5,1,0,1,0,-4.5
Miguel Vargas,42453,6,0,1,35,FALSE,NA,NA,Draft,56,28,1,0,0,2
Mike Trout,30836,1,0,1,35,FALSE,NA,NA,Draft,102,28,1,0,0,3.642857142857143
Mike Yastrzemski,33341,12,0,1,35,FALSE,NA,NA,Draft,72.5,24,1,0,0,3.0208333333333335
Miles Mikolas,32116,7,0,1,19,FALSE,NA,NA,Draft,9,3,0,1,0,3
Mitch Haniger,32771,7,0,1,35,FALSE,NA,NA,Draft,20,5,1,0,0,4
Mookie Betts,33039,4,0,1,35,FALSE,NA,NA,Draft,97.5,29,1,0,0,3.3620689655172415
Nathan Eovaldi,31174,5,0,1,35,FALSE,NA,NA,Draft,101,6,0,1,0,16.833333333333332
Nathaniel Lowe,40538,9,0,1,35,FALSE,NA,NA,Draft,86,29,1,0,0,2.9655172413793105
Nestor Cortes,36480,7,0,1,35,FALSE,NA,NA,Draft,72,6,0,1,0,12
Nick Castellanos,31187,12,0,1,35,FALSE,NA,NA,Draft,96,31,1,0,0,3.096774193548387
Nick Lodolo,42433,13,0,1,35,FALSE,NA,NA,Draft,48.5,6,0,1,0,8.083333333333334
Nico Hoerner,41219,9,0,1,35,FALSE,NA,NA,Draft,98,29,1,0,0,3.3793103448275863
Nolan Arenado,31261,9,0,1,35,FALSE,NA,NA,Draft,49.5,29,1,0,0,1.706896551724138
Oneil Cruz,39712,11,0,1,35,FALSE,NA,NA,Draft,28,9,1,0,0,3.111111111111111
Oscar Colas,4987420,1,0,1,16,FALSE,NA,NA,Draft,5.5,8,1,0,0,0.6875
Oscar Gonzalez,39400,4,0,1,6,FALSE,NA,NA,Draft,5.5,4,1,0,0,1.375
Oswaldo Cabrera,40835,11,0,1,23,FALSE,NA,NA,Draft,8,13,1,0,0,0.6153846153846154
Ozzie Albies,33783,1,0,1,35,FALSE,NA,NA,Draft,90,30,1,0,0,3
Pablo Lopez,39671,7,0,1,35,FALSE,NA,NA,Draft,98.5,6,0,1,0,16.416666666666668
Patrick Sandoval,40975,9,0,1,35,FALSE,NA,NA,Draft,72.5,5,0,1,0,14.5
Paul Goldschmidt,31027,4,0,1,35,FALSE,NA,NA,Draft,96.5,29,1,0,0,3.3275862068965516
Paul Sewald,35009,9,0,1,35,TRUE,NA,NA,Draft,72,16,0,0,1,4.5
Pete Alonso,37498,2,0,1,35,FALSE,NA,NA,Draft,105,29,1,0,0,3.6206896551724137
Pete Fairbanks,42180,2,0,1,35,TRUE,NA,NA,Draft,34,8,0,0,1,4.25
Rafael Devers,33859,8,0,1,35,FALSE,NA,NA,Draft,102.5,30,1,0,0,3.4166666666666665
Rafael Montero,32631,7,0,1,20,TRUE,NA,NA,Draft,21,8,0,0,1,2.625
Raisel Iglesias,33618,4,0,1,35,TRUE,NA,NA,Draft,0,0,NA,NA,NA,0
Ramon Laureano,35142,13,0,1,16,FALSE,NA,NA,Draft,18,11,1,0,0,1.6363636363636365
Randy Arozarena,36488,5,0,1,35,FALSE,NA,NA,Draft,112,29,1,0,0,3.8620689655172415
Reid Detmers,4326697,8,0,1,35,FALSE,NA,NA,Draft,53,5,0,1,0,10.6
Riley Greene,42179,9,0,1,23,FALSE,NA,NA,Draft,36,17,1,0,0,2.1176470588235294
Robbie Ray,32175,14,0,1,28,FALSE,NA,NA,Draft,0,1,0,1,0,0
Ronald Acuna Jr.,36185,1,0,1,35,FALSE,NA,NA,Draft,130,30,1,0,0,4.333333333333333
Ross Stripling,32789,5,0,1,35,TRUE,NA,NA,Draft,23,6,0,0.5,0.5,3.8333333333333335
Rowdy Tellez,34287,6,0,1,11,FALSE,NA,NA,Draft,13.5,7,1,0,0,1.9285714285714286
Ryan Helsley,39909,2,0,1,35,TRUE,NA,NA,Draft,24,9,0,0,1,2.6666666666666665
Ryan McMahon,33247,12,0,1,4,FALSE,NA,NA,Draft,8,4,1,0,0,2
Ryan Mountcastle,34940,7,0,1,35,FALSE,NA,NA,Draft,95,29,1,0,0,3.2758620689655173
Ryan Pressly,33072,14,0,1,35,TRUE,NA,NA,Draft,35,12,0,0,1,2.9166666666666665
Salvador Perez,31127,6,0,1,35,FALSE,NA,NA,Draft,71,27,1,0,0,2.6296296296296298
Sandy Alcantara,35241,9,0,1,35,FALSE,NA,NA,Draft,79,6,0,1,0,13.166666666666666
Scott Barlow,32156,14,0,1,8,TRUE,NA,NA,Draft,6.5,2,0,0,1,3.25
Sean Manaea,33244,12,0,1,5,FALSE,NA,NA,Draft,0,0,0,0,1,0
Sean Murphy,33557,1,0,1,7,FALSE,NA,NA,Draft,0.5,3,1,0,0,0.16666666666666666
Seiya Suzuki,4142424,13,0,1,35,FALSE,NA,NA,Draft,30.5,15,1,0,0,2.033333333333333
Seranthony Dominguez,37793,12,0,1,3,TRUE,NA,NA,Draft,-12,1,0,0,1,-12
Seth Brown,35676,8,0,1,11,FALSE,NA,NA,Draft,15,8,1,0,0,1.875
Shane Bieber,40912,11,0,1,35,FALSE,NA,NA,Draft,98,6,0,1,0,16.333333333333332
Shane McClanahan,41199,2,0,1,35,FALSE,NA,NA,Draft,118,6,0,1,0,19.666666666666668
Shintaro Fujinami,4142398,13,0,1,10,FALSE,NA,NA,Draft,-13,2,0,1,0,-6.5
